"Label (Grouping)","Median earnings in the past 12 months (in 2019 Inflation-adjusted dollars) --!!Total (dollars):"
"Jamestown city, New York",""
"    Estimate","27,502"
"Kingston city, New York",""
"    Estimate","33,409"
"Kiryas Joel village, New York",""
"    Estimate","21,007"
"Lake Ronkonkoma CDP, New York",""
"    Estimate","57,263"
"Levittown CDP, New York",""
"    Estimate","49,850"
"Lindenhurst village, New York",""
"    Estimate","50,995"
"Lockport city, New York",""
"    Estimate","36,959"
"Long Beach city, New York",""
"    Estimate","56,201"
"Lynbrook village, New York",""
"    Estimate","58,782"
"Massapequa CDP, New York",""
"    Estimate","64,138"
"Medford CDP, New York",""
"    Estimate","51,173"
"Merrick CDP, New York",""
"    Estimate","81,005"
"Middletown city, New York",""
"    Estimate","40,203"
"Monsey CDP, New York",""
"    Estimate","21,753"
"Mount Vernon city, New York",""
"    Estimate","41,146"
"Newburgh city, New York",""
"    Estimate","30,127"
"New City CDP, New York",""
"    Estimate","52,436"
"New Rochelle city, New York",""
"    Estimate","46,584"
"New York city, New York",""
"    Estimate","42,326"
"Niagara Falls city, New York",""
"    Estimate","29,916"
"North Babylon CDP, New York",""
"    Estimate","37,191"
"North Bellmore CDP, New York",""
"    Estimate","50,029"
"North Tonawanda city, New York",""
"    Estimate","36,710"
"Oceanside CDP, New York",""
"    Estimate","60,473"
"Ossining village, New York",""
"    Estimate","50,353"
"Peekskill city, New York",""
"    Estimate","53,114"
"Plainview CDP, New York",""
"    Estimate","66,471"
"Plattsburgh city, New York",""
"    Estimate","24,884"
"Port Chester village, New York",""
"    Estimate","32,008"
"Poughkeepsie city, New York",""
"    Estimate","30,282"
"Rochester city, New York",""
"    Estimate","30,208"
"Rockville Centre village, New York",""
"    Estimate","78,064"
"Rome city, New York",""
"    Estimate","31,110"
"Ronkonkoma CDP, New York",""
"    Estimate","45,536"
"Roosevelt CDP, New York",""
"    Estimate","34,068"
"Rotterdam CDP, New York",""
"    Estimate","41,945"
"Saratoga Springs city, New York",""
"    Estimate","40,658"
"Schenectady city, New York",""
"    Estimate","28,439"
"Selden CDP, New York",""
"    Estimate","45,955"
"Shirley CDP, New York",""
"    Estimate","37,656"
"Smithtown CDP, New York",""
"    Estimate","61,029"
"Spring Valley village, New York",""
"    Estimate","25,653"
"Syosset CDP, New York",""
"    Estimate","76,997"
"Syracuse city, New York",""
"    Estimate","27,027"
"Tonawanda CDP, New York",""
"    Estimate","37,298"
"Troy city, New York",""
"    Estimate","26,247"
"Uniondale CDP, New York",""
"    Estimate","23,150"
"Utica city, New York",""
"    Estimate","27,634"
"Valley Stream village, New York",""
"    Estimate","41,077"
"Watertown city, New York",""
"    Estimate","26,926"
"West Babylon CDP, New York",""
"    Estimate","42,589"
"West Hempstead CDP, New York",""
"    Estimate","50,418"
"West Islip CDP, New York",""
"    Estimate","48,904"
"West Seneca CDP, New York",""
"    Estimate","38,451"
"White Plains city, New York",""
"    Estimate","46,853"
"Yonkers city, New York",""
"    Estimate","40,346"
"Apex town, North Carolina",""
"    Estimate","52,862"
"Asheboro city, North Carolina",""
"    Estimate","27,491"
"Asheville city, North Carolina",""
"    Estimate","29,848"
"Boone town, North Carolina",""
"    Estimate","6,692"
"Burlington city, North Carolina",""
"    Estimate","32,219"
"Carrboro town, North Carolina",""
"    Estimate","32,450"
"Cary town, North Carolina",""
"    Estimate","54,470"
"Chapel Hill town, North Carolina",""
"    Estimate","23,436"
"Charlotte city, North Carolina",""
"    Estimate","38,528"
"Clayton town, North Carolina",""
"    Estimate","31,476"
"Clemmons village, North Carolina",""
"    Estimate","45,714"
"Concord city, North Carolina",""
"    Estimate","36,349"
"Cornelius town, North Carolina",""
"    Estimate","45,861"
"Durham city, North Carolina",""
"    Estimate","38,598"
"Fayetteville city, North Carolina",""
"    Estimate","28,072"
"Fuquay-Varina town, North Carolina",""
"    Estimate","46,578"
"Garner town, North Carolina",""
"    Estimate","44,568"
"Gastonia city, North Carolina",""
"    Estimate","30,622"
"Goldsboro city, North Carolina",""
"    Estimate","21,377"
"Greensboro city, North Carolina",""
"    Estimate","30,249"
"Greenville city, North Carolina",""
"    Estimate","27,653"
"Harrisburg town, North Carolina",""
"    Estimate","49,037"
"Havelock city, North Carolina",""
"    Estimate","25,628"
"Hickory city, North Carolina",""
"    Estimate","27,648"
"High Point city, North Carolina",""
"    Estimate","29,148"
"Holly Springs town, North Carolina",""
"    Estimate","54,962"
"Huntersville town, North Carolina",""
"    Estimate","51,754"
"Indian Trail town, North Carolina",""
"    Estimate","41,352"
"Jacksonville city, North Carolina",""
"    Estimate","23,546"
"Kannapolis city, North Carolina",""
"    Estimate","28,357"
"Kernersville town, North Carolina",""
"    Estimate","32,993"
"Leland town, North Carolina",""
"    Estimate","31,423"
"Lenoir city, North Carolina",""
"    Estimate","27,411"
"Lumberton city, North Carolina",""
"    Estimate","30,595"
"Matthews town, North Carolina",""
"    Estimate","46,819"
"Mint Hill town, North Carolina",""
"    Estimate","45,019"
"Monroe city, North Carolina",""
"    Estimate","30,077"
"Mooresville town, North Carolina",""
"    Estimate","37,838"
"Morganton city, North Carolina",""
"    Estimate","24,682"
"Morrisville town, North Carolina",""
"    Estimate","71,431"
"Murraysville CDP, North Carolina",""
"    Estimate","30,796"
"New Bern city, North Carolina",""
"    Estimate","24,502"
"Raleigh city, North Carolina",""
"    Estimate","40,612"
"Rocky Mount city, North Carolina",""
"    Estimate","26,297"
"Salisbury city, North Carolina",""
"    Estimate","24,340"
"Sanford city, North Carolina",""
"    Estimate","29,236"
"Stallings town, North Carolina",""
"    Estimate","41,830"
"Statesville city, North Carolina",""
"    Estimate","27,005"
"Thomasville city, North Carolina",""
"    Estimate","36,065"
"Wake Forest town, North Carolina",""
"    Estimate","50,183"
"Wilmington city, North Carolina",""
"    Estimate","26,790"
"Wilson city, North Carolina",""
"    Estimate","30,224"
"Winston-Salem city, North Carolina",""
"    Estimate","29,937"
"Bismarck city, North Dakota",""
"    Estimate","40,460"
"Dickinson city, North Dakota",""
"    Estimate","37,547"
"Fargo city, North Dakota",""
"    Estimate","32,315"
"Grand Forks city, North Dakota",""
"    Estimate","29,095"
"Mandan city, North Dakota",""
"    Estimate","36,495"
"Minot city, North Dakota",""
"    Estimate","39,682"
"West Fargo city, North Dakota",""
"    Estimate","45,397"
"Williston city, North Dakota",""
"    Estimate","45,157"
"Akron city, Ohio",""
"    Estimate","27,190"
"Alliance city, Ohio",""
"    Estimate","25,217"
"Ashland city, Ohio",""
"    Estimate","23,357"
"Athens city, Ohio",""
"    Estimate","7,258"
"Austintown CDP, Ohio",""
"    Estimate","36,381"
"Avon city, Ohio",""
"    Estimate","49,747"
"Avon Lake city, Ohio",""
"    Estimate","46,636"
"Barberton city, Ohio",""
"    Estimate","25,237"
"Beavercreek city, Ohio",""
"    Estimate","53,368"
"Berea city, Ohio",""
"    Estimate","22,280"
"Boardman CDP, Ohio",""
"    Estimate","31,026"
"Bowling Green city, Ohio",""
"    Estimate","12,471"
"Brunswick city, Ohio",""
"    Estimate","42,122"
"Canton city, Ohio",""
"    Estimate","22,604"
"Centerville city, Ohio",""
"    Estimate","41,173"
"Chillicothe city, Ohio",""
"    Estimate","31,714"
"Cincinnati city, Ohio",""
"    Estimate","31,595"
"Cleveland city, Ohio",""
"    Estimate","27,354"
"Cleveland Heights city, Ohio",""
"    Estimate","39,775"
"Columbus city, Ohio",""
"    Estimate","35,013"
"Cuyahoga Falls city, Ohio",""
"    Estimate","36,867"
"Dayton city, Ohio",""
"    Estimate","21,010"
"Delaware city, Ohio",""
"    Estimate","32,677"
"Dublin city, Ohio",""
"    Estimate","66,345"
"Elyria city, Ohio",""
"    Estimate","27,862"
"Euclid city, Ohio",""
"    Estimate","33,446"
"Fairborn city, Ohio",""
"    Estimate","30,855"
"Fairfield city, Ohio",""
"    Estimate","37,912"
"Findlay city, Ohio",""
"    Estimate","33,080"
"Gahanna city, Ohio",""
"    Estimate","43,879"
"Garfield Heights city, Ohio",""
"    Estimate","30,520"
"Green city, Ohio",""
"    Estimate","40,081"
"Grove City city, Ohio",""
"    Estimate","40,921"
"Hamilton city, Ohio",""
"    Estimate","30,676"
"Hilliard city, Ohio",""
"    Estimate","56,211"
"Huber Heights city, Ohio",""
"    Estimate","30,440"
"Hudson city, Ohio",""
"    Estimate","61,381"
"Kent city, Ohio",""
"    Estimate","15,102"
"Kettering city, Ohio",""
"    Estimate","33,696"
"Lakewood city, Ohio",""
"    Estimate","40,429"
"Lancaster city, Ohio",""
"    Estimate","32,380"
"Lebanon city, Ohio",""
"    Estimate","36,967"
"Lima city, Ohio",""
"    Estimate","22,467"
"Lorain city, Ohio",""
"    Estimate","29,812"
"Mansfield city, Ohio",""
"    Estimate","24,605"
"Marion city, Ohio",""
"    Estimate","26,256"
"Marysville city, Ohio",""
"    Estimate","52,866"
"Mason city, Ohio",""
"    Estimate","53,677"
"Massillon city, Ohio",""
"    Estimate","32,837"
"Mayfield Heights city, Ohio",""
"    Estimate","32,363"
"Medina city, Ohio",""
"    Estimate","47,471"
"Mentor city, Ohio",""
"    Estimate","45,342"
"Middletown city, Ohio",""
"    Estimate","27,470"
"Newark city, Ohio",""
"    Estimate","31,070"
"North Olmsted city, Ohio",""
"    Estimate","35,592"
"North Ridgeville city, Ohio",""
"    Estimate","48,056"
"North Royalton city, Ohio",""
"    Estimate","45,516"
"Norwood city, Ohio",""
"    Estimate","29,579"
"Oxford city, Ohio",""
"    Estimate","6,871"
"Painesville city, Ohio",""
"    Estimate","29,967"
"Parma city, Ohio",""
"    Estimate","37,191"
"Pataskala city, Ohio",""
"    Estimate","41,220"
"Perrysburg city, Ohio",""
"    Estimate","50,647"
"Pickerington city, Ohio",""
"    Estimate","58,279"
"Piqua city, Ohio",""
"    Estimate","25,792"
"Reynoldsburg city, Ohio",""
"    Estimate","31,883"
"Riverside city, Ohio",""
"    Estimate","27,497"
"Rocky River city, Ohio",""
"    Estimate","55,298"
"Sandusky city, Ohio",""
"    Estimate","22,259"
"Shaker Heights city, Ohio",""
"    Estimate","56,978"
"Sidney city, Ohio",""
"    Estimate","35,798"
"Solon city, Ohio",""
"    Estimate","57,497"
"South Euclid city, Ohio",""
"    Estimate","38,267"
"Springfield city, Ohio",""
"    Estimate","26,333"
"Stow city, Ohio",""
"    Estimate","40,321"
"Streetsboro city, Ohio",""
"    Estimate","35,995"
"Strongsville city, Ohio",""
"    Estimate","50,517"
"Toledo city, Ohio",""
"    Estimate","26,871"
"Trotwood city, Ohio",""
"    Estimate","26,082"
"Troy city, Ohio",""
"    Estimate","35,444"
"Upper Arlington city, Ohio",""
"    Estimate","72,685"
"Wadsworth city, Ohio",""
"    Estimate","39,268"
"Warren city, Ohio",""
"    Estimate","22,275"
"Westerville city, Ohio",""
"    Estimate","53,413"
"Westlake city, Ohio",""
"    Estimate","47,014"
"Whitehall city, Ohio",""
"    Estimate","26,399"
"Willoughby city, Ohio",""
"    Estimate","39,011"
"Wooster city, Ohio",""
"    Estimate","25,260"
"Xenia city, Ohio",""
"    Estimate","30,371"
"Youngstown city, Ohio",""
"    Estimate","19,083"
"Zanesville city, Ohio",""
"    Estimate","23,957"
"Ardmore city, Oklahoma",""
"    Estimate","36,150"
"Bartlesville city, Oklahoma",""
"    Estimate","31,195"
"Bethany city, Oklahoma",""
"    Estimate","36,099"
"Bixby city, Oklahoma",""
"    Estimate","42,648"
"Broken Arrow city, Oklahoma",""
"    Estimate","40,945"
"Duncan city, Oklahoma",""
"    Estimate","30,150"
"Edmond city, Oklahoma",""
"    Estimate","44,151"
"Enid city, Oklahoma",""
"    Estimate","33,063"
"Jenks city, Oklahoma",""
"    Estimate","47,025"
"Lawton city, Oklahoma",""
"    Estimate","26,062"
"Midwest City city, Oklahoma",""
"    Estimate","32,258"
"Moore city, Oklahoma",""
"    Estimate","38,679"
"Muskogee city, Oklahoma",""
"    Estimate","29,079"
"Mustang city, Oklahoma",""
"    Estimate","41,944"
"Norman city, Oklahoma",""
"    Estimate","30,480"
"Oklahoma City city, Oklahoma",""
"    Estimate","35,040"
"Owasso city, Oklahoma",""
"    Estimate","42,977"
"Ponca City city, Oklahoma",""
"    Estimate","32,293"
"Sand Springs city, Oklahoma",""
"    Estimate","30,615"
"Sapulpa city, Oklahoma",""
"    Estimate","31,817"
"Shawnee city, Oklahoma",""
"    Estimate","25,805"
"Stillwater city, Oklahoma",""
"    Estimate","14,486"
"Tulsa city, Oklahoma",""
"    Estimate","31,559"
"Yukon city, Oklahoma",""
"    Estimate","36,363"
"Albany city, Oregon",""
"    Estimate","34,185"
"Aloha CDP, Oregon",""
"    Estimate","40,620"
"Ashland city, Oregon",""
"    Estimate","25,414"
"Beaverton city, Oregon",""
"    Estimate","44,036"
"Bend city, Oregon",""
"    Estimate","35,253"
"Bethany CDP, Oregon",""
"    Estimate","67,429"
"Central Point city, Oregon",""
"    Estimate","34,255"
"Corvallis city, Oregon",""
"    Estimate","21,654"
"Eugene city, Oregon",""
"    Estimate","28,284"
"Forest Grove city, Oregon",""
"    Estimate","29,115"
"Grants Pass city, Oregon",""
"    Estimate","24,210"
"Gresham city, Oregon",""
"    Estimate","32,055"
"Happy Valley city, Oregon",""
"    Estimate","50,641"
"Hayesville CDP, Oregon",""
"    Estimate","26,673"
"Hillsboro city, Oregon",""
"    Estimate","42,062"
"Keizer city, Oregon",""
"    Estimate","40,533"
"Klamath Falls city, Oregon",""
"    Estimate","26,077"
"Lake Oswego city, Oregon",""
"    Estimate","68,639"
"Lebanon city, Oregon",""
"    Estimate","31,971"
"McMinnville city, Oregon",""
"    Estimate","29,827"
"Medford city, Oregon",""
"    Estimate","30,307"
"Milwaukie city, Oregon",""
"    Estimate","37,956"
"Newberg city, Oregon",""
"    Estimate","46,128"
"Oak Grove CDP, Oregon",""
"    Estimate","37,799"
"Oregon City city, Oregon",""
"    Estimate","41,220"
"Portland city, Oregon",""
"    Estimate","42,060"
"Redmond city, Oregon",""
"    Estimate","32,195"
"Roseburg city, Oregon",""
"    Estimate","26,957"
"Salem city, Oregon",""
"    Estimate","31,524"
"Springfield city, Oregon",""
"    Estimate","29,263"
"Tigard city, Oregon",""
"    Estimate","42,899"
"Tualatin city, Oregon",""
"    Estimate","48,439"
"West Linn city, Oregon",""
"    Estimate","60,421"
"Wilsonville city, Oregon",""
"    Estimate","41,865"
"Woodburn city, Oregon",""
"    Estimate","27,165"
"Allentown city, Pennsylvania",""
"    Estimate","25,369"
"Allison Park CDP, Pennsylvania",""
"    Estimate","37,930"
"Altoona city, Pennsylvania",""
"    Estimate","29,120"
"Baldwin borough, Pennsylvania",""
"    Estimate","35,788"
"Bethel Park municipality, Pennsylvania",""
"    Estimate","54,300"
"Bethlehem city, Pennsylvania",""
"    Estimate","30,313"
"Carlisle borough, Pennsylvania",""
"    Estimate","27,306"
"Chambersburg borough, Pennsylvania",""
"    Estimate","30,843"
"Chester city, Pennsylvania",""
"    Estimate","26,303"
"Drexel Hill CDP, Pennsylvania",""
"    Estimate","45,236"
"Easton city, Pennsylvania",""
"    Estimate","25,445"
"Erie city, Pennsylvania",""
"    Estimate","25,665"
"Harrisburg city, Pennsylvania",""
"    Estimate","30,530"
"Hazleton city, Pennsylvania",""
"    Estimate","27,468"
"King of Prussia CDP, Pennsylvania",""
"    Estimate","56,218"
"Lancaster city, Pennsylvania",""
"    Estimate","30,069"
"Lebanon city, Pennsylvania",""
"    Estimate","28,100"
"Levittown CDP, Pennsylvania",""
"    Estimate","37,972"
"Monroeville municipality, Pennsylvania",""
"    Estimate","44,451"
"Murrysville municipality, Pennsylvania",""
"    Estimate","56,358"
"New Castle city, Pennsylvania",""
"    Estimate","25,876"
"Norristown borough, Pennsylvania",""
"    Estimate","30,221"
"Philadelphia city, Pennsylvania",""
"    Estimate","32,355"
"Pittsburgh city, Pennsylvania",""
"    Estimate","35,699"
"Plum borough, Pennsylvania",""
"    Estimate","50,358"
"Pottstown borough, Pennsylvania",""
"    Estimate","30,898"
"Reading city, Pennsylvania",""
"    Estimate","28,224"
"Scranton city, Pennsylvania",""
"    Estimate","25,902"
"State College borough, Pennsylvania",""
"    Estimate","10,012"
"Upper St. Clair CDP, Pennsylvania",""
"    Estimate","61,967"
"West Chester borough, Pennsylvania",""
"    Estimate","26,506"
"Wilkes-Barre city, Pennsylvania",""
"    Estimate","27,975"
"Williamsport city, Pennsylvania",""
"    Estimate","17,123"
"York city, Pennsylvania",""
"    Estimate","25,492"
"Central Falls city, Rhode Island",""
"    Estimate","23,894"
"Cranston city, Rhode Island",""
"    Estimate","45,516"
"East Providence city, Rhode Island",""
"    Estimate","42,267"
"Newport city, Rhode Island",""
"    Estimate","30,649"
"Pawtucket city, Rhode Island",""
"    Estimate","32,408"
"Providence city, Rhode Island",""
"    Estimate","30,634"
"Warwick city, Rhode Island",""
"    Estimate","42,770"
"Woonsocket city, Rhode Island",""
"    Estimate","36,278"
"Aiken city, South Carolina",""
"    Estimate","35,666"
"Anderson city, South Carolina",""
"    Estimate","21,505"
"Bluffton town, South Carolina",""
"    Estimate","35,108"
"Charleston city, South Carolina",""
"    Estimate","45,716"
"Columbia city, South Carolina",""
"    Estimate","23,675"
"Conway city, South Carolina",""
"    Estimate","25,213"
"Easley city, South Carolina",""
"    Estimate","31,268"
"Five Forks CDP, South Carolina",""
"    Estimate","47,254"
"Florence city, South Carolina",""
"    Estimate","32,291"
"Fort Mill town, South Carolina",""
"    Estimate","61,252"
"Goose Creek city, South Carolina",""
"    Estimate","35,675"
"Greenville city, South Carolina",""
"    Estimate","36,600"
"Greenwood city, South Carolina",""
"    Estimate","19,639"
"Greer city, South Carolina",""
"    Estimate","37,475"
"Hanahan city, South Carolina",""
"    Estimate","36,397"
"Hilton Head Island town, South Carolina",""
"    Estimate","39,078"
"Lexington town, South Carolina",""
"    Estimate","47,939"
"Mauldin city, South Carolina",""
"    Estimate","40,632"
"Mount Pleasant town, South Carolina",""
"    Estimate","60,946"
"Myrtle Beach city, South Carolina",""
"    Estimate","27,860"
"North Augusta city, South Carolina",""
"    Estimate","41,157"
"North Charleston city, South Carolina",""
"    Estimate","34,255"
"North Myrtle Beach city, South Carolina",""
"    Estimate","30,714"
"Rock Hill city, South Carolina",""
"    Estimate","30,791"
"St. Andrews CDP, South Carolina",""
"    Estimate","21,700"
"Simpsonville city, South Carolina",""
"    Estimate","40,020"
"Socastee CDP, South Carolina",""
"    Estimate","22,248"
"Spartanburg city, South Carolina",""
"    Estimate","27,400"
"Summerville town, South Carolina",""
"    Estimate","37,900"
"Sumter city, South Carolina",""
"    Estimate","27,362"
"Taylors CDP, South Carolina",""
"    Estimate","37,872"
"Wade Hampton CDP, South Carolina",""
"    Estimate","34,702"
"Aberdeen city, South Dakota",""
"    Estimate","31,859"
"Brookings city, South Dakota",""
"    Estimate","25,264"
"Rapid City city, South Dakota",""
"    Estimate","27,579"
"Sioux Falls city, South Dakota",""
"    Estimate","38,211"
"Watertown city, South Dakota",""
"    Estimate","35,842"
"Bartlett city, Tennessee",""
"    Estimate","42,665"
"Brentwood city, Tennessee",""
"    Estimate","62,400"
"Bristol city, Tennessee",""
"    Estimate","34,347"
"Chattanooga city, Tennessee",""
"    Estimate","30,713"
"Clarksville city, Tennessee",""
"    Estimate","31,707"
"Cleveland city, Tennessee",""
"    Estimate","24,436"
"Collierville town, Tennessee",""
"    Estimate","51,184"
"Columbia city, Tennessee",""
"    Estimate","32,254"
"Cookeville city, Tennessee",""
"    Estimate","25,459"
"East Ridge city, Tennessee",""
"    Estimate","27,235"
"Farragut town, Tennessee",""
"    Estimate","68,885"
"Franklin city, Tennessee",""
"    Estimate","52,071"
"Gallatin city, Tennessee",""
"    Estimate","30,920"
"Germantown city, Tennessee",""
"    Estimate","62,155"
"Hendersonville city, Tennessee",""
"    Estimate","41,722"
"Jackson city, Tennessee",""
"    Estimate","27,194"
"Johnson City city, Tennessee",""
"    Estimate","26,309"
"Kingsport city, Tennessee",""
"    Estimate","29,694"
"Knoxville city, Tennessee",""
"    Estimate","28,027"
"La Vergne city, Tennessee",""
"    Estimate","34,854"
"Lebanon city, Tennessee",""
"    Estimate","31,469"
"Maryville city, Tennessee",""
"    Estimate","35,896"
"Memphis city, Tennessee",""
"    Estimate","30,068"
"Morristown city, Tennessee",""
"    Estimate","23,728"
"Mount Juliet city, Tennessee",""
"    Estimate","47,646"
"Murfreesboro city, Tennessee",""
"    Estimate","33,490"
"Nashville-Davidson metropolitan government (balance), Tennessee",""
"    Estimate","37,624"
"Oak Ridge city, Tennessee",""
"    Estimate","31,155"
"Sevierville city, Tennessee",""
"    Estimate","24,436"
"Shelbyville city, Tennessee",""
"    Estimate","30,512"
"Smyrna town, Tennessee",""
"    Estimate","39,837"
"Spring Hill city, Tennessee",""
"    Estimate","38,990"
"Abilene city, Texas",""
"    Estimate","26,893"
"Alice city, Texas",""
"    Estimate","32,620"
"Allen city, Texas",""
"    Estimate","52,422"
"Alvin city, Texas",""
"    Estimate","40,391"
"Amarillo city, Texas",""
"    Estimate","30,572"
"Anna city, Texas",""
"    Estimate","51,551"
"Arlington city, Texas",""
"    Estimate","33,645"
"Atascocita CDP, Texas",""
"    Estimate","52,774"
"Austin city, Texas",""
"    Estimate","42,416"
"Balch Springs city, Texas",""
"    Estimate","32,091"
"Baytown city, Texas",""
"    Estimate","39,187"
"Beaumont city, Texas",""
"    Estimate","32,274"
"Bedford city, Texas",""
"    Estimate","41,257"
"Belton city, Texas",""
"    Estimate","24,917"
"Benbrook city, Texas",""
"    Estimate","38,929"
"Big Spring city, Texas",""
"    Estimate","32,355"
"Brownsville city, Texas",""
"    Estimate","24,110"
"Bryan city, Texas",""
"    Estimate","26,931"
"Burleson city, Texas",""
"    Estimate","40,700"
"Canyon Lake CDP, Texas",""
"    Estimate","40,663"
"Carrollton city, Texas",""
"    Estimate","41,946"
"Cedar Hill city, Texas",""
"    Estimate","38,931"
"Cedar Park city, Texas",""
"    Estimate","42,672"
"Channelview CDP, Texas",""
"    Estimate","35,222"
"Cibolo city, Texas",""
"    Estimate","41,296"
"Cleburne city, Texas",""
"    Estimate","31,604"
"Cloverleaf CDP, Texas",""
"    Estimate","26,517"
"College Station city, Texas",""
"    Estimate","21,113"
"Colleyville city, Texas",""
"    Estimate","71,422"
"Conroe city, Texas",""
"    Estimate","36,355"
"Converse city, Texas",""
"    Estimate","33,660"
"Coppell city, Texas",""
"    Estimate","69,323"
"Copperas Cove city, Texas",""
"    Estimate","31,879"
"Corinth city, Texas",""
"    Estimate","50,653"
"Corpus Christi city, Texas",""
"    Estimate","31,987"
"Corsicana city, Texas",""
"    Estimate","26,691"
"Dallas city, Texas",""
"    Estimate","35,451"
"Deer Park city, Texas",""
"    Estimate","34,697"
"Del Rio city, Texas",""
"    Estimate","23,867"
"Denison city, Texas",""
"    Estimate","26,855"
"Denton city, Texas",""
"    Estimate","27,188"
"DeSoto city, Texas",""
"    Estimate","36,176"
"Duncanville city, Texas",""
"    Estimate","36,105"
"Eagle Pass city, Texas",""
"    Estimate","26,527"
"Edinburg city, Texas",""
"    Estimate","25,435"
"El Paso city, Texas",""
"    Estimate","26,104"
"Ennis city, Texas",""
"    Estimate","28,463"
"Euless city, Texas",""
"    Estimate","45,097"
"Farmers Branch city, Texas",""
"    Estimate","39,994"
"Flower Mound town, Texas",""
"    Estimate","61,049"
"Forney city, Texas",""
"    Estimate","51,448"
"Fort Hood CDP, Texas",""
"    Estimate","20,825"
"Fort Worth city, Texas",""
"    Estimate","35,739"
"Fresno CDP, Texas",""
"    Estimate","35,936"
"Friendswood city, Texas",""
"    Estimate","45,956"
"Frisco city, Texas",""
"    Estimate","60,391"
"Galveston city, Texas",""
"    Estimate","27,417"
"Garland city, Texas",""
"    Estimate","31,514"
"Georgetown city, Texas",""
"    Estimate","36,299"
"Grand Prairie city, Texas",""
"    Estimate","37,095"
"Grapevine city, Texas",""
"    Estimate","52,031"
"Greenville city, Texas",""
"    Estimate","37,716"
"Haltom City city, Texas",""
"    Estimate","30,211"
"Harker Heights city, Texas",""
"    Estimate","37,757"
"Harlingen city, Texas",""
"    Estimate","25,763"
"Horizon City city, Texas",""
"    Estimate","41,080"
"Houston city, Texas",""
"    Estimate","32,566"
"Huntsville city, Texas",""
"    Estimate","20,414"
"Hurst city, Texas",""
"    Estimate","39,039"
"Hutto city, Texas",""
"    Estimate","45,248"
"Irving city, Texas",""
"    Estimate","35,403"
"Keller city, Texas",""
"    Estimate","62,149"
"Kerrville city, Texas",""
"    Estimate","27,423"
"Killeen city, Texas",""
"    Estimate","30,438"
"Kingsville city, Texas",""
"    Estimate","23,101"
"Kyle city, Texas",""
"    Estimate","39,131"
"Lake Jackson city, Texas",""
"    Estimate","38,857"
"La Marque city, Texas",""
"    Estimate","39,864"
"Lancaster city, Texas",""
"    Estimate","37,875"
"La Porte city, Texas",""
"    Estimate","42,201"
"Laredo city, Texas",""
"    Estimate","27,538"
"League City city, Texas",""
"    Estimate","58,791"
"Leander city, Texas",""
"    Estimate","48,446"
"Lewisville city, Texas",""
"    Estimate","38,514"
"Little Elm city, Texas",""
"    Estimate","43,065"
"Longview city, Texas",""
"    Estimate","30,894"
"Lubbock city, Texas",""
"    Estimate","27,888"
"Lufkin city, Texas",""
"    Estimate","27,063"
"McAllen city, Texas",""
"    Estimate","27,287"
"McKinney city, Texas",""
"    Estimate","50,383"
"Mansfield city, Texas",""
"    Estimate","49,114"
"Marshall city, Texas",""
"    Estimate","30,553"
"Mesquite city, Texas",""
"    Estimate","32,628"
"Midland city, Texas",""
"    Estimate","40,123"
"Midlothian city, Texas",""
"    Estimate","46,153"
"Mission city, Texas",""
"    Estimate","28,298"
"Mission Bend CDP, Texas",""
"    Estimate","28,813"
"Missouri City city, Texas",""
"    Estimate","42,118"
"Murphy city, Texas",""
"    Estimate","41,667"
"Nacogdoches city, Texas",""
"    Estimate","20,882"
"New Braunfels city, Texas",""
"    Estimate","40,016"
"North Richland Hills city, Texas",""
"    Estimate","42,662"
"Odessa city, Texas",""
"    Estimate","37,096"
"Palestine city, Texas",""
"    Estimate","30,146"
"Paris city, Texas",""
"    Estimate","23,994"
"Pasadena city, Texas",""
"    Estimate","32,020"
"Pearland city, Texas",""
"    Estimate","61,755"
"Pecan Grove CDP, Texas",""
"    Estimate","41,405"
"Pflugerville city, Texas",""
"    Estimate","46,382"
"Pharr city, Texas",""
"    Estimate","21,880"
"Plainview city, Texas",""
"    Estimate","27,918"
"Plano city, Texas",""
"    Estimate","51,676"
"Port Arthur city, Texas",""
"    Estimate","30,951"
"Prosper town, Texas",""
"    Estimate","64,386"
"Richardson city, Texas",""
"    Estimate","42,555"
"Rockwall city, Texas",""
"    Estimate","52,543"
"Rosenberg city, Texas",""
"    Estimate","29,902"
"Round Rock city, Texas",""
"    Estimate","37,352"
"Rowlett city, Texas",""
"    Estimate","45,059"
"Sachse city, Texas",""
"    Estimate","60,532"
"Saginaw city, Texas",""
"    Estimate","46,264"
"San Angelo city, Texas",""
"    Estimate","30,913"
"San Antonio city, Texas",""
"    Estimate","30,874"
"San Benito city, Texas",""
"    Estimate","20,093"
"San Juan city, Texas",""
"    Estimate","21,002"
"San Marcos city, Texas",""
"    Estimate","20,695"
"Schertz city, Texas",""
"    Estimate","41,918"
"Seguin city, Texas",""
"    Estimate","25,026"
"Sherman city, Texas",""
"    Estimate","25,955"
"Sienna Plantation CDP, Texas",""
"    Estimate","40,905"
"Socorro city, Texas",""
"    Estimate","26,762"
"South Houston city, Texas",""
"    Estimate","18,985"
"Southlake city, Texas",""
"    Estimate","126,110"
"Spring CDP, Texas",""
"    Estimate","37,448"
"Stephenville city, Texas",""
"    Estimate","22,158"
"Sugar Land city, Texas",""
"    Estimate","56,864"
"Temple city, Texas",""
