"Label (Grouping)","HOUSEHOLDS BY TYPE!!Total households!!Average household size","FERTILITY!!Number of women 15 to 50 years old who had a birth in the past 12 months","FERTILITY!!Number of women 15 to 50 years old who had a birth in the past 12 months!!Unmarried women (widowed, divorced, and never married)!!Per 1,000 unmarried women","FERTILITY!!Number of women 15 to 50 years old who had a birth in the past 12 months!!Per 1,000 women 15 to 19 years old","FERTILITY!!Number of women 15 to 50 years old who had a birth in the past 12 months!!Per 1,000 women 20 to 34 years old","FERTILITY!!Number of women 15 to 50 years old who had a birth in the past 12 months!!Per 1,000 women 35 to 50 years old","EDUCATIONAL ATTAINMENT!!Population 25 years and over","EDUCATIONAL ATTAINMENT!!Population 25 years and over!!Less than 9th grade","EDUCATIONAL ATTAINMENT!!Population 25 years and over!!9th to 12th grade, no diploma","EDUCATIONAL ATTAINMENT!!Population 25 years and over!!High school graduate (includes equivalency)","EDUCATIONAL ATTAINMENT!!Population 25 years and over!!Some college, no degree","EDUCATIONAL ATTAINMENT!!Population 25 years and over!!Associate's degree","EDUCATIONAL ATTAINMENT!!Population 25 years and over!!Bachelor's degree","EDUCATIONAL ATTAINMENT!!Population 25 years and over!!Graduate or professional degree","COMPUTERS AND INTERNET USE!!Total households!!With a computer","COMPUTERS AND INTERNET USE!!Total households!!With a broadband Internet subscription"
"    Estimate","3.10","924","17","0","74","27","62,156","3,451","3,630","12,364","13,165","4,734","16,096","8,716","29,927","28,480"
"    Percent","(X)","924","(X)","(X)","(X)","(X)","62,156","5.6%","5.8%","19.9%","21.2%","7.6%","25.9%","14.0%","97.0%","92.3%"
"San Mateo city, California","","","","","","","","","","","","","","","",""
"    Estimate","2.60","1,548","16","34","68","58","76,245","4,858","2,733","9,127","11,025","4,977","22,525","21,000","38,105","37,007"
"    Percent","(X)","1,548","(X)","(X)","(X)","(X)","76,245","6.4%","3.6%","12.0%","14.5%","6.5%","29.5%","27.5%","96.3%","93.5%"
"San Ramon city, California","","","","","","","","","","","","","","","",""
"    Estimate","2.95","663","0","0","71","35","50,486","533","1,039","4,599","5,218","2,878","20,268","15,951","25,395","25,064"
"    Percent","(X)","663","(X)","(X)","(X)","(X)","50,486","1.1%","2.1%","9.1%","10.3%","5.7%","40.1%","31.6%","98.8%","97.5%"
"Santa Ana city, California","","","","","","","","","","","","","","","",""
"    Estimate","4.11","4,532","30","2","93","27","211,611","41,360","36,497","52,420","34,714","9,458","25,000","12,162","76,646","67,254"
"    Percent","(X)","4,532","(X)","(X)","(X)","(X)","211,611","19.5%","17.2%","24.8%","16.4%","4.5%","11.8%","5.7%","96.2%","84.4%"
"Santa Barbara city, California","","","","","","","","","","","","","","","",""
"    Estimate","2.33","N","N","N","N","N","63,728","6,266","3,061","7,328","9,789","4,385","20,061","12,838","37,222","36,026"
"    Percent","(X)","N","(X)","(X)","(X)","(X)","63,728","9.8%","4.8%","11.5%","15.4%","6.9%","31.5%","20.1%","96.2%","93.2%"
"Santa Clara city, California","","","","","","","","","","","","","","","",""
"    Estimate","2.68","1,429","2","0","56","34","92,418","2,302","3,282","11,625","10,986","7,243","28,881","28,099","45,592","44,485"
"    Percent","(X)","1,429","(X)","(X)","(X)","(X)","92,418","2.5%","3.6%","12.6%","11.9%","7.8%","31.3%","30.4%","97.8%","95.4%"
"Santa Clarita city, California","","","","","","","","","","","","","","","",""
"    Estimate","3.01","2,523","18","5","90","43","141,289","7,476","6,771","25,806","35,613","13,435","35,089","17,099","68,008","66,336"
"    Percent","(X)","2,523","(X)","(X)","(X)","(X)","141,289","5.3%","4.8%","18.3%","25.2%","9.5%","24.8%","12.1%","97.2%","94.8%"
"Santa Cruz city, California","","","","","","","","","","","","","","","",""
"    Estimate","2.43","N","N","N","N","N","35,029","1,393","430","4,389","6,757","2,844","10,130","9,086","21,735","20,408"
"    Percent","(X)","N","(X)","(X)","(X)","(X)","35,029","4.0%","1.2%","12.5%","19.3%","8.1%","28.9%","25.9%","98.1%","92.1%"
"Santa Maria city, California","","","","","","","","","","","","","","","",""
"    Estimate","3.92","2,093","60","0","130","49","60,389","18,425","6,098","14,510","10,399","2,668","5,653","2,636","24,966","24,600"
"    Percent","(X)","2,093","(X)","(X)","(X)","(X)","60,389","30.5%","10.1%","24.0%","17.2%","4.4%","9.4%","4.4%","92.2%","90.8%"
"Santa Monica city, California","","","","","","","","","","","","","","","",""
"    Estimate","1.97","N","N","N","N","N","73,163","2,988","1,307","7,954","10,096","3,797","27,851","19,170","42,713","41,150"
"    Percent","(X)","N","(X)","(X)","(X)","(X)","73,163","4.1%","1.8%","10.9%","13.8%","5.2%","38.1%","26.2%","94.7%","91.2%"
"Santa Rosa city, California","","","","","","","","","","","","","","","",""
"    Estimate","2.64","1,911","47","0","75","32","122,855","10,496","7,478","25,171","26,284","12,199","24,922","16,305","63,376","61,618"
"    Percent","(X)","1,911","(X)","(X)","(X)","(X)","122,855","8.5%","6.1%","20.5%","21.4%","9.9%","20.3%","13.3%","96.6%","93.9%"
"Simi Valley city, California","","","","","","","","","","","","","","","",""
"    Estimate","2.96","855","2","0","21","44","89,975","2,586","4,176","20,347","22,369","10,574","19,915","10,008","39,673","39,279"
"    Percent","(X)","855","(X)","(X)","(X)","(X)","89,975","2.9%","4.6%","22.6%","24.9%","11.8%","22.1%","11.1%","94.2%","93.3%"
"South Gate city, California","","","","","","","","","","","","","","","",""
"    Estimate","3.96","1,278","43","13","68","46","59,534","16,990","9,659","14,526","10,545","2,616","4,353","845","21,876","19,823"
"    Percent","(X)","1,278","(X)","(X)","(X)","(X)","59,534","28.5%","16.2%","24.4%","17.7%","4.4%","7.3%","1.4%","92.9%","84.1%"
"South San Francisco city, California","","","","","","","","","","","","","","","",""
"    Estimate","3.00","N","N","N","N","N","53,153","3,417","2,690","10,609","9,375","5,130","16,056","5,876","20,897","20,589"
"    Percent","(X)","N","(X)","(X)","(X)","(X)","53,153","6.4%","5.1%","20.0%","17.6%","9.7%","30.2%","11.1%","93.5%","92.1%"
"Stockton city, California","","","","","","","","","","","","","","","",""
"    Estimate","3.18","4,753","41","24","106","36","196,661","28,520","17,853","58,468","38,024","14,511","27,423","11,862","89,942","80,748"
"    Percent","(X)","4,753","(X)","(X)","(X)","(X)","196,661","14.5%","9.1%","29.7%","19.3%","7.4%","13.9%","6.0%","93.5%","84.0%"
"Sunnyvale city, California","","","","","","","","","","","","","","","",""
"    Estimate","2.73","2,233","31","0","66","51","110,317","4,699","2,495","9,577","13,751","7,661","33,602","38,532","53,762","52,499"
"    Percent","(X)","2,233","(X)","(X)","(X)","(X)","110,317","4.3%","2.3%","8.7%","12.5%","6.9%","30.5%","34.9%","97.0%","94.7%"
"Temecula city, California","","","","","","","","","","","","","","","",""
"    Estimate","3.22","1,107","20","11","95","16","73,442","2,642","1,750","11,198","21,916","6,762","18,659","10,515","34,765","34,458"
"    Percent","(X)","1,107","(X)","(X)","(X)","(X)","73,442","3.6%","2.4%","15.2%","29.8%","9.2%","25.4%","14.3%","97.6%","96.7%"
"Thousand Oaks city, California","","","","","","","","","","","","","","","",""
"    Estimate","2.80","2,077","33","15","145","40","85,327","2,316","2,757","9,820","15,973","7,689","26,712","20,060","42,160","40,580"
"    Percent","(X)","2,077","(X)","(X)","(X)","(X)","85,327","2.7%","3.2%","11.5%","18.7%","9.0%","31.3%","23.5%","94.5%","90.9%"
"Torrance city, California","","","","","","","","","","","","","","","",""
"    Estimate","2.56","951","0","0","14","45","108,950","2,554","2,578","19,681","17,828","8,383","38,994","18,932","53,698","52,779"
"    Percent","(X)","951","(X)","(X)","(X)","(X)","108,950","2.3%","2.4%","18.1%","16.4%","7.7%","35.8%","17.4%","96.8%","95.1%"
"Tracy city, California","","","","","","","","","","","","","","","",""
"    Estimate","3.53","1,681","27","0","78","67","60,295","5,660","4,645","15,888","15,250","6,627","9,925","2,300","26,306","25,610"
"    Percent","(X)","1,681","(X)","(X)","(X)","(X)","60,295","9.4%","7.7%","26.4%","25.3%","11.0%","16.5%","3.8%","98.3%","95.7%"
"Tulare city, California","","","","","","","","","","","","","","","",""
"    Estimate","3.59","889","32","0","111","0","33,105","3,871","4,555","10,056","8,567","3,157","2,355","544","17,268","16,065"
"    Percent","(X)","889","(X)","(X)","(X)","(X)","33,105","11.7%","13.8%","30.4%","25.9%","9.5%","7.1%","1.6%","95.0%","88.4%"
"Turlock city, California","","","","","","","","","","","","","","","",""
"    Estimate","2.84","1,315","47","9","123","25","45,253","3,878","2,692","10,245","12,986","4,126","7,937","3,389","24,518","21,455"
"    Percent","(X)","1,315","(X)","(X)","(X)","(X)","45,253","8.6%","5.9%","22.6%","28.7%","9.1%","17.5%","7.5%","95.3%","83.4%"
"Tustin city, California","","","","","","","","","","","","","","","",""
"    Estimate","3.24","N","N","N","N","N","50,890","2,970","3,303","9,475","9,329","3,952","13,111","8,750","23,275","22,391"
"    Percent","(X)","N","(X)","(X)","(X)","(X)","50,890","5.8%","6.5%","18.6%","18.3%","7.8%","25.8%","17.2%","96.5%","92.8%"
"Union City city, California","","","","","","","","","","","","","","","",""
"    Estimate","3.27","602","0","0","60","22","54,419","2,689","2,872","10,637","8,347","3,725","16,912","9,237","22,273","20,782"
"    Percent","(X)","602","(X)","(X)","(X)","(X)","54,419","4.9%","5.3%","19.5%","15.3%","6.8%","31.1%","17.0%","99.1%","92.5%"
"Upland city, California","","","","","","","","","","","","","","","",""
"    Estimate","2.92","495","13","0","28","29","53,676","984","3,542","11,741","14,612","5,591","11,462","5,744","25,043","23,337"
"    Percent","(X)","495","(X)","(X)","(X)","(X)","53,676","1.8%","6.6%","21.9%","27.2%","10.4%","21.4%","10.7%","95.6%","89.1%"
"Vacaville city, California","","","","","","","","","","","","","","","",""
"    Estimate","2.86","1,426","34","58","96","30","70,015","3,344","5,145","16,057","20,642","7,586","11,001","6,240","31,336","30,644"
"    Percent","(X)","1,426","(X)","(X)","(X)","(X)","70,015","4.8%","7.3%","22.9%","29.5%","10.8%","15.7%","8.9%","96.2%","94.1%"
"Vallejo city, California","","","","","","","","","","","","","","","",""
"    Estimate","2.85","934","18","0","63","10","85,563","4,698","5,427","22,179","22,892","7,702","14,358","8,307","39,492","37,579"
"    Percent","(X)","934","(X)","(X)","(X)","(X)","85,563","5.5%","6.3%","25.9%","26.8%","9.0%","16.8%","9.7%","93.6%","89.0%"
"Victorville city, California","","","","","","","","","","","","","","","",""
"    Estimate","3.67","1,467","57","41","101","0","71,601","7,170","13,201","21,046","16,811","5,250","4,877","3,246","29,862","29,028"
"    Percent","(X)","1,467","(X)","(X)","(X)","(X)","71,601","10.0%","18.4%","29.4%","23.5%","7.3%","6.8%","4.5%","92.8%","90.2%"
"Visalia city, California","","","","","","","","","","","","","","","",""
"    Estimate","2.90","3,023","60","0","163","57","85,368","9,525","5,288","18,817","25,496","11,333","9,664","5,245","42,301","40,040"
"    Percent","(X)","3,023","(X)","(X)","(X)","(X)","85,368","11.2%","6.2%","22.0%","29.9%","13.3%","11.3%","6.1%","92.2%","87.3%"
"Vista city, California","","","","","","","","","","","","","","","",""
"    Estimate","3.20","1,414","33","39","85","17","66,980","10,080","6,638","13,245","16,027","6,015","10,676","4,299","30,342","28,588"
"    Percent","(X)","1,414","(X)","(X)","(X)","(X)","66,980","15.0%","9.9%","19.8%","23.9%","9.0%","15.9%","6.4%","97.6%","92.0%"
"Walnut Creek city, California","","","","","","","","","","","","","","","",""
"    Estimate","2.19","862","23","0","52","75","54,302","510","778","4,200","10,037","3,316","19,442","16,019","30,284","29,334"
"    Percent","(X)","862","(X)","(X)","(X)","(X)","54,302","0.9%","1.4%","7.7%","18.5%","6.1%","35.8%","29.5%","96.0%","93.0%"
"West Covina city, California","","","","","","","","","","","","","","","",""
"    Estimate","3.40","900","26","0","66","9","74,843","5,308","4,530","20,919","16,083","6,734","15,563","5,706","29,051","26,967"
"    Percent","(X)","900","(X)","(X)","(X)","(X)","74,843","7.1%","6.1%","28.0%","21.5%","9.0%","20.8%","7.6%","94.7%","87.9%"
"Westminster city, California","","","","","","","","","","","","","","","",""
"    Estimate","3.35","969","18","0","65","40","63,771","8,307","6,607","15,641","11,273","4,963","12,445","4,535","25,627","24,284"
"    Percent","(X)","969","(X)","(X)","(X)","(X)","63,771","13.0%","10.4%","24.5%","17.7%","7.8%","19.5%","7.1%","95.0%","90.0%"
"Whittier city, California","","","","","","","","","","","","","","","",""
"    Estimate","3.10","1,236","13","0","78","60","55,511","3,021","3,921","16,232","12,079","5,374","8,559","6,325","23,833","22,319"
"    Percent","(X)","1,236","(X)","(X)","(X)","(X)","55,511","5.4%","7.1%","29.2%","21.8%","9.7%","15.4%","11.4%","88.7%","83.0%"
"Yorba Linda city, California","","","","","","","","","","","","","","","",""
"    Estimate","2.97","N","N","N","N","N","49,449","613","1,576","6,748","9,289","5,290","17,451","8,482","22,341","22,108"
"    Percent","(X)","N","(X)","(X)","(X)","(X)","49,449","1.2%","3.2%","13.6%","18.8%","10.7%","35.3%","17.2%","98.5%","97.5%"
"Yuba City city, California","","","","","","","","","","","","","","","",""
"    Estimate","2.72","N","N","N","N","N","44,800","5,344","4,756","9,396","11,112","4,106","5,684","4,402","21,248","19,921"
"    Percent","(X)","N","(X)","(X)","(X)","(X)","44,800","11.9%","10.6%","21.0%","24.8%","9.2%","12.7%","9.8%","87.1%","81.7%"
"Arvada city, Colorado","","","","","","","","","","","","","","","",""
"    Estimate","2.49","745","5","0","45","17","86,793","2,751","2,797","18,807","16,695","6,820","24,793","14,130","46,517","44,296"
"    Percent","(X)","745","(X)","(X)","(X)","(X)","86,793","3.2%","3.2%","21.7%","19.2%","7.9%","28.6%","16.3%","96.2%","91.6%"
"Aurora city, Colorado","","","","","","","","","","","","","","","",""
"    Estimate","2.77","3,792","26","38","54","23","250,080","14,220","15,023","62,154","56,580","24,228","49,365","28,510","131,018","127,280"
"    Percent","(X)","3,792","(X)","(X)","(X)","(X)","250,080","5.7%","6.0%","24.9%","22.6%","9.7%","19.7%","11.4%","96.0%","93.3%"
"Boulder city, Colorado","","","","","","","","","","","","","","","",""
"    Estimate","2.22","N","N","N","N","N","61,347","464","1,395","3,128","5,392","2,634","23,419","24,915","41,397","38,880"
"    Percent","(X)","N","(X)","(X)","(X)","(X)","61,347","0.8%","2.3%","5.1%","8.8%","4.3%","38.2%","40.6%","97.5%","91.6%"
"Broomfield city, Colorado","","","","","","","","","","","","","","","",""
"    Estimate","2.50","676","6","0","29","60","49,543","856","989","6,653","8,423","4,446","16,344","11,832","27,710","26,388"
"    Percent","(X)","676","(X)","(X)","(X)","(X)","49,543","1.7%","2.0%","13.4%","17.0%","9.0%","33.0%","23.9%","98.7%","94.0%"
"Castle Rock town, Colorado","","","","","","","","","","","","","","","",""
"    Estimate","2.85","N","N","N","N","N","44,875","397","943","6,716","11,008","4,386","13,589","7,836","22,777","22,343"
"    Percent","(X)","N","(X)","(X)","(X)","(X)","44,875","0.9%","2.1%","15.0%","24.5%","9.8%","30.3%","17.5%","95.7%","93.9%"
"Centennial city, Colorado","","","","","","","","","","","","","","","",""
"    Estimate","2.70","921","5","0","70","32","77,688","678","1,827","10,269","14,429","6,284","26,536","17,665","39,808","38,665"
"    Percent","(X)","921","(X)","(X)","(X)","(X)","77,688","0.9%","2.4%","13.2%","18.6%","8.1%","34.2%","22.7%","99.1%","96.3%"
"Colorado Springs city, Colorado","","","","","","","","","","","","","","","",""
"    Estimate","2.49","5,824","21","0","79","29","322,804","6,619","11,304","64,569","75,843","34,298","80,435","49,736","181,599","175,587"
"    Percent","(X)","5,824","(X)","(X)","(X)","(X)","322,804","2.1%","3.5%","20.0%","23.5%","10.6%","24.9%","15.4%","96.2%","93.0%"
"Denver city, Colorado","","","","","","","","","","","","","","","",""
"    Estimate","2.24","8,505","21","23","41","45","530,543","22,288","24,443","90,398","84,963","26,728","173,093","108,630","303,632","291,375"
"    Percent","(X)","8,505","(X)","(X)","(X)","(X)","530,543","4.2%","4.6%","17.0%","16.0%","5.0%","32.6%","20.5%","95.3%","91.5%"
"Fort Collins city, Colorado","","","","","","","","","","","","","","","",""
"    Estimate","2.28","1,144","15","25","29","12","104,896","478","1,662","16,963","16,534","8,936","35,598","24,725","69,909","64,894"
"    Percent","(X)","1,144","(X)","(X)","(X)","(X)","104,896","0.5%","1.6%","16.2%","15.8%","8.5%","33.9%","23.6%","98.7%","91.6%"
"Greeley city, Colorado","","","","","","","","","","","","","","","",""
"    Estimate","2.67","1,338","35","18","81","18","68,017","6,747","4,573","16,421","15,621","6,863","9,757","8,035","36,683","33,398"
"    Percent","(X)","1,338","(X)","(X)","(X)","(X)","68,017","9.9%","6.7%","24.1%","23.0%","10.1%","14.3%","11.8%","95.8%","87.2%"
"Highlands Ranch CDP, Colorado","","","","","","","","","","","","","","","",""
"    Estimate","2.69","1,348","29","61","108","24","66,195","64","803","5,399","12,200","4,650","27,412","15,667","36,912","36,192"
"    Percent","(X)","1,348","(X)","(X)","(X)","(X)","66,195","0.1%","1.2%","8.2%","18.4%","7.0%","41.4%","23.7%","99.5%","97.6%"
"Lakewood city, Colorado","","","","","","","","","","","","","","","",""
"    Estimate","2.29","2,325","4","24","90","37","115,684","1,994","5,841","26,513","21,324","8,072","35,064","16,876","64,960","62,585"
"    Percent","(X)","2,325","(X)","(X)","(X)","(X)","115,684","1.7%","5.0%","22.9%","18.4%","7.0%","30.3%","14.6%","95.7%","92.2%"
"Longmont city, Colorado","","","","","","","","","","","","","","","",""
"    Estimate","2.40","N","N","N","N","N","67,502","4,041","2,539","10,261","12,124","5,050","21,305","12,182","38,735","36,846"
"    Percent","(X)","N","(X)","(X)","(X)","(X)","67,502","6.0%","3.8%","15.2%","18.0%","7.5%","31.6%","18.0%","96.9%","92.2%"
"Loveland city, Colorado","","","","","","","","","","","","","","","",""
"    Estimate","2.35","1,225","42","0","41","117","55,856","545","2,473","13,105","12,574","5,687","14,665","6,807","32,117","30,468"
"    Percent","(X)","1,225","(X)","(X)","(X)","(X)","55,856","1.0%","4.4%","23.5%","22.5%","10.2%","26.3%","12.2%","96.2%","91.2%"
"Pueblo city, Colorado","","","","","","","","","","","","","","","",""
"    Estimate","2.43","1,789","53","0","139","27","75,797","2,513","5,370","22,959","20,057","9,591","10,612","4,695","39,170","36,467"
"    Percent","(X)","1,789","(X)","(X)","(X)","(X)","75,797","3.3%","7.1%","30.3%","26.5%","12.7%","14.0%","6.2%","87.2%","81.1%"
"Thornton city, Colorado","","","","","","","","","","","","","","","",""
"    Estimate","3.01","2,071","22","0","106","20","92,221","4,402","8,237","26,564","18,854","8,371","18,241","7,552","45,840","44,348"
"    Percent","(X)","2,071","(X)","(X)","(X)","(X)","92,221","4.8%","8.9%","28.8%","20.4%","9.1%","19.8%","8.2%","97.7%","94.6%"
"Westminster city, Colorado","","","","","","","","","","","","","","","",""
"    Estimate","2.57","997","13","19","36","40","78,947","1,936","4,214","16,947","17,585","5,673","21,097","11,495","42,162","40,544"
"    Percent","(X)","997","(X)","(X)","(X)","(X)","78,947","2.5%","5.3%","21.5%","22.3%","7.2%","26.7%","14.6%","96.1%","92.4%"
"Bridgeport city, Connecticut","","","","","","","","","","","","","","","",""
"    Estimate","2.80","2,086","44","0","75","58","91,157","13,750","9,570","31,634","14,182","5,980","9,127","6,914","44,256","41,319"
"    Percent","(X)","2,086","(X)","(X)","(X)","(X)","91,157","15.1%","10.5%","34.7%","15.6%","6.6%","10.0%","7.6%","88.3%","82.5%"
"Danbury city, Connecticut","","","","","","","","","","","","","","","",""
"    Estimate","2.52","890","32","0","79","24","61,501","5,130","4,746","16,719","10,076","5,449","12,771","6,610","30,305","28,917"
"    Percent","(X)","890","(X)","(X)","(X)","(X)","61,501","8.3%","7.7%","27.2%","16.4%","8.9%","20.8%","10.7%","93.8%","89.5%"
"Hartford city, Connecticut","","","","","","","","","","","","","","","",""
"    Estimate","2.38","948","17","0","36","28","75,488","8,830","10,802","24,278","15,241","5,134","6,420","4,783","43,735","38,961"
"    Percent","(X)","948","(X)","(X)","(X)","(X)","75,488","11.7%","14.3%","32.2%","20.2%","6.8%","8.5%","6.3%","90.8%","80.9%"
"New Britain city, Connecticut","","","","","","","","","","","","","","","",""
"    Estimate","2.37","1,131","15","0","82","59","47,185","3,582","5,712","17,100","8,773","3,344","5,758","2,916","26,308","23,699"
"    Percent","(X)","1,131","(X)","(X)","(X)","(X)","47,185","7.6%","12.1%","36.2%","18.6%","7.1%","12.2%","6.2%","89.6%","80.7%"
"New Haven city, Connecticut","","","","","","","","","","","","","","","",""
"    Estimate","2.57","1,146","14","0","42","26","82,937","5,214","6,997","28,055","11,765","4,001","12,827","14,078","42,213","40,542"
"    Percent","(X)","1,146","(X)","(X)","(X)","(X)","82,937","6.3%","8.4%","33.8%","14.2%","4.8%","15.5%","17.0%","89.8%","86.3%"
"Norwalk city, Connecticut","","","","","","","","","","","","","","","",""
"    Estimate","2.62","667","10","0","40","30","64,588","4,223","2,182","14,800","8,480","4,987","18,678","11,238","32,323","31,113"
"    Percent","(X)","667","(X)","(X)","(X)","(X)","64,588","6.5%","3.4%","22.9%","13.1%","7.7%","28.9%","17.4%","96.2%","92.6%"
"Stamford city, Connecticut","","","","","","","","","","","","","","","",""
"    Estimate","2.58","1,319","8","0","56","39","93,336","6,109","3,898","17,774","10,086","5,675","27,803","21,991","47,178","45,579"
"    Percent","(X)","1,319","(X)","(X)","(X)","(X)","93,336","6.5%","4.2%","19.0%","10.8%","6.1%","29.8%","23.6%","94.9%","91.7%"
"Waterbury city, Connecticut","","","","","","","","","","","","","","","",""
"    Estimate","2.51","2,471","58","0","156","60","69,692","7,779","7,866","26,016","12,504","4,001","6,732","4,794","36,522","31,747"
"    Percent","(X)","2,471","(X)","(X)","(X)","(X)","69,692","11.2%","11.3%","37.3%","17.9%","5.7%","9.7%","6.9%","86.7%","75.4%"
"Wilmington city, Delaware","","","","","","","","","","","","","","","",""
"    Estimate","2.10","N","N","N","N","N","50,453","1,973","4,298","19,739","7,792","2,000","8,292","6,359","29,322","25,932"
"    Percent","(X)","N","(X)","(X)","(X)","(X)","50,453","3.9%","8.5%","39.1%","15.4%","4.0%","16.4%","12.6%","92.3%","81.7%"
"Washington city, District of Columbia","","","","","","","","","","","","","","","",""
"    Estimate","2.29","8,375","24","11","43","41","505,145","16,459","24,709","79,881","65,745","16,922","129,825","171,604","275,282","254,446"
"    Percent","(X)","8,375","(X)","(X)","(X)","(X)","505,145","3.3%","4.9%","15.8%","13.0%","3.3%","25.7%","34.0%","94.4%","87.3%"
"Alafaya CDP, Florida","","","","","","","","","","","","","","","",""
"    Estimate","3.14","N","N","N","N","N","62,592","2,160","2,725","15,801","9,689","8,087","16,495","7,635","29,648","29,188"
"    Percent","(X)","N","(X)","(X)","(X)","(X)","62,592","3.5%","4.4%","25.2%","15.5%","12.9%","26.4%","12.2%","96.5%","95.0%"
"Boca Raton city, Florida","","","","","","","","","","","","","","","",""
"    Estimate","2.35","N","N","N","N","N","71,434","1,153","1,989","10,377","11,794","6,028","23,450","16,643","39,083","37,136"
"    Percent","(X)","N","(X)","(X)","(X)","(X)","71,434","1.6%","2.8%","14.5%","16.5%","8.4%","32.8%","23.3%","95.7%","90.9%"
"Boynton Beach city, Florida","","","","","","","","","","","","","","","",""
"    Estimate","2.45","973","6","0","77","54","60,863","3,807","2,980","15,342","12,694","6,042","13,345","6,653","29,679","27,094"
"    Percent","(X)","973","(X)","(X)","(X)","(X)","60,863","6.3%","4.9%","25.2%","20.9%","9.9%","21.9%","10.9%","93.1%","85.0%"
"Brandon CDP, Florida","","","","","","","","","","","","","","","",""
"    Estimate","2.64","2,143","22","0","137","23","83,647","1,791","5,386","21,178","16,398","10,449","19,649","8,796","42,395","40,746"
"    Percent","(X)","2,143","(X)","(X)","(X)","(X)","83,647","2.1%","6.4%","25.3%","19.6%","12.5%","23.5%","10.5%","98.5%","94.7%"
"Cape Coral city, Florida","","","","","","","","","","","","","","","",""
"    Estimate","2.89","N","N","N","N","N","145,756","3,357","7,622","52,109","34,573","12,268","24,141","11,686","65,609","63,648"
"    Percent","(X)","N","(X)","(X)","(X)","(X)","145,756","2.3%","5.2%","35.8%","23.7%","8.4%","16.6%","8.0%","97.7%","94.7%"
"Clearwater city, Florida","","","","","","","","","","","","","","","",""
"    Estimate","2.35","N","N","N","N","N","89,925","3,036","5,624","20,626","21,472","6,710","21,631","10,826","45,849","41,886"
"    Percent","(X)","N","(X)","(X)","(X)","(X)","89,925","3.4%","6.3%","22.9%","23.9%","7.5%","24.1%","12.0%","94.3%","86.1%"
"Coral Springs city, Florida","","","","","","","","","","","","","","","",""
"    Estimate","3.24","1,405","22","0","100","20","84,769","2,060","1,676","21,812","17,570","8,860","20,628","12,163","40,214","38,718"
"    Percent","(X)","1,405","(X)","(X)","(X)","(X)","84,769","2.4%","2.0%","25.7%","20.7%","10.5%","24.3%","14.3%","97.5%","93.9%"
"Davie town, Florida","","","","","","","","","","","","","","","",""
"    Estimate","2.93","1,274","33","15","86","8","69,153","4,858","3,852","14,386","10,341","9,948","15,809","9,959","34,984","34,002"
"    Percent","(X)","1,274","(X)","(X)","(X)","(X)","69,153","7.0%","5.6%","20.8%","15.0%","14.4%","22.9%","14.4%","98.0%","95.2%"
"Daytona Beach city, Florida","","","","","","","","","","","","","","","",""
"    Estimate","2.27","550","32","0","60","10","50,471","2,166","2,783","18,018","11,216","5,906","6,556","3,826","26,855","22,935"
"    Percent","(X)","550","(X)","(X)","(X)","(X)","50,471","4.3%","5.5%","35.7%","22.2%","11.7%","13.0%","7.6%","93.1%","79.5%"
"Deerfield Beach city, Florida","","","","","","","","","","","","","","","",""
"    Estimate","2.38","1,225","31","0","125","41","62,808","3,923","4,053","17,300","12,688","5,058","13,740","6,046","31,035","29,441"
"    Percent","(X)","1,225","(X)","(X)","(X)","(X)","62,808","6.2%","6.5%","27.5%","20.2%","8.1%","21.9%","9.6%","92.8%","88.0%"
"Delray Beach city, Florida","","","","","","","","","","","","","","","",""
"    Estimate","2.39","N","N","N","N","N","53,817","3,032","2,288","13,276","9,757","4,609","13,230","7,625","26,451","24,334"
"    Percent","(X)","N","(X)","(X)","(X)","(X)","53,817","5.6%","4.3%","24.7%","18.1%","8.6%","24.6%","14.2%","92.7%","85.2%"
"Deltona city, Florida","","","","","","","","","","","","","","","",""
"    Estimate","2.91","1,112","47","90","81","0","61,843","2,134","5,039","22,927","14,435","7,412","6,568","3,328","30,805","28,556"
"    Percent","(X)","1,112","(X)","(X)","(X)","(X)","61,843","3.5%","8.1%","37.1%","23.3%","12.0%","10.6%","5.4%","96.9%","89.8%"
"Doral city, Florida","","","","","","","","","","","","","","","",""
"    Estimate","3.33","441","0","0","20","34","43,696","781","7,544","5,747","4,346","2,948","10,802","11,528","19,556","18,422"
"    Percent","(X)","441","(X)","(X)","(X)","(X)","43,696","1.8%","17.3%","13.2%","9.9%","6.7%","24.7%","26.4%","99.2%","93.4%"
"Fort Lauderdale city, Florida","","","","","","","","","","","","","","","",""
"    Estimate","2.34","1,599","28","0","70","16","139,941","7,710","8,193","34,650","25,894","9,593","32,727","21,174","72,813","65,750"
"    Percent","(X)","1,599","(X)","(X)","(X)","(X)","139,941","5.5%","5.9%","24.8%","18.5%","6.9%","23.4%","15.1%","95.4%","86.1%"
"Fort Myers city, Florida","","","","","","","","","","","","","","","",""
"    Estimate","2.69","834","15","0","80","5","61,478","5,986","3,914","18,493","9,822","5,637","10,269","7,357","27,919","26,964"
"    Percent","(X)","834","(X)","(X)","(X)","(X)","61,478","9.7%","6.4%","30.1%","16.0%","9.2%","16.7%","12.0%","90.8%","87.7%"
"Fountainebleau CDP, Florida","","","","","","","","","","","","","","","",""
