"Label (Grouping)","Total:","Total:!!9th to 12th grade, no diploma","Total:!!High school graduate (includes equivalency)","Total:!!Bachelor's degree","Total:!!Graduate or professional degree"
"    Estimate","26,278","1,614","6,648","3,920","3,173"
"Greenville city, South Carolina","","","","",""
"    Estimate","49,765","3,255","6,884","15,508","10,814"
"Greenwood city, South Carolina","","","","",""
"    Estimate","15,102","1,312","5,731","2,637","1,349"
"Greer city, South Carolina","","","","",""
"    Estimate","24,349","2,267","5,832","5,363","2,529"
"Hanahan city, South Carolina","","","","",""
"    Estimate","17,750","644","4,903","3,929","1,246"
"Hilton Head Island town, South Carolina","","","","",""
"    Estimate","32,523","647","5,196","10,000","8,728"
"Lexington town, South Carolina","","","","",""
"    Estimate","17,414","497","3,298","4,024","2,993"
"Mauldin city, South Carolina","","","","",""
"    Estimate","16,706","292","4,117","3,659","2,014"
"Mount Pleasant town, South Carolina","","","","",""
"    Estimate","66,232","1,334","6,248","26,403","17,403"
"Myrtle Beach city, South Carolina","","","","",""
"    Estimate","25,734","1,483","7,227","5,388","2,713"
"North Augusta city, South Carolina","","","","",""
"    Estimate","15,248","255","3,308","3,685","1,469"
"North Charleston city, South Carolina","","","","",""
"    Estimate","81,738","9,244","22,685","14,762","6,165"
"North Myrtle Beach city, South Carolina","","","","",""
"    Estimate","19,380","1,081","5,398","4,331","2,483"
"Rock Hill city, South Carolina","","","","",""
"    Estimate","49,897","1,941","11,251","9,761","5,761"
"St. Andrews CDP, South Carolina","","","","",""
"    Estimate","16,653","1,228","6,143","2,159","1,523"
"Simpsonville city, South Carolina","","","","",""
"    Estimate","17,000","957","4,926","3,385","1,389"
"Socastee CDP, South Carolina","","","","",""
"    Estimate","18,530","1,259","5,278","1,965","903"
"Spartanburg city, South Carolina","","","","",""
"    Estimate","22,855","3,045","6,634","4,182","2,724"
"Summerville town, South Carolina","","","","",""
"    Estimate","37,771","1,733","8,238","6,726","3,612"
"Sumter city, South Carolina","","","","",""
"    Estimate","25,135","2,149","6,399","4,359","2,642"
"Taylors CDP, South Carolina","","","","",""
"    Estimate","16,001","722","3,195","4,430","1,550"
"Wade Hampton CDP, South Carolina","","","","",""
"    Estimate","16,364","676","4,121","4,849","2,397"
"Aberdeen city, South Dakota","","","","",""
"    Estimate","19,600","923","6,922","4,662","1,401"
"Brookings city, South Dakota","","","","",""
"    Estimate","12,581","688","2,087","4,629","2,025"
"Rapid City city, South Dakota","","","","",""
"    Estimate","54,079","3,296","13,479","11,738","6,121"
"Sioux Falls city, South Dakota","","","","",""
"    Estimate","120,983","4,543","28,438","30,511","13,862"
"Watertown city, South Dakota","","","","",""
"    Estimate","15,502","1,159","5,671","2,163","872"
"Bartlett city, Tennessee","","","","",""
"    Estimate","41,199","1,007","10,678","9,226","7,801"
"Brentwood city, Tennessee","","","","",""
"    Estimate","26,998","330","2,056","11,697","8,654"
"Bristol city, Tennessee","","","","",""
"    Estimate","19,082","1,222","7,088","3,311","1,783"
"Chattanooga city, Tennessee","","","","",""
"    Estimate","130,503","10,897","32,256","25,404","16,496"
"Clarksville city, Tennessee","","","","",""
"    Estimate","95,041","3,424","26,951","17,240","9,733"
"Cleveland city, Tennessee","","","","",""
"    Estimate","30,702","3,340","8,209","5,370","2,883"
"Collierville town, Tennessee","","","","",""
"    Estimate","34,352","1,211","4,350","13,404","6,741"
"Columbia city, Tennessee","","","","",""
"    Estimate","27,327","2,135","9,496","3,705","2,022"
"Cookeville city, Tennessee","","","","",""
"    Estimate","19,884","1,970","4,630","4,323","2,378"
"East Ridge city, Tennessee","","","","",""
"    Estimate","15,696","1,490","4,374","2,583","1,167"
"Farragut town, Tennessee","","","","",""
"    Estimate","14,443","139","1,084","5,926","4,503"
"Franklin city, Tennessee","","","","",""
"    Estimate","56,196","1,387","7,226","22,204","14,125"
"Gallatin city, Tennessee","","","","",""
"    Estimate","30,916","1,718","8,451","6,553","2,703"
"Germantown city, Tennessee","","","","",""
"    Estimate","27,592","414","2,341","9,751","8,981"
"Hendersonville city, Tennessee","","","","",""
"    Estimate","39,689","1,569","9,694","11,318","5,543"
"Jackson city, Tennessee","","","","",""
"    Estimate","41,378","3,303","13,606","6,555","4,760"
"Johnson City city, Tennessee","","","","",""
"    Estimate","43,914","3,321","9,891","9,750","8,680"
"Kingsport city, Tennessee","","","","",""
"    Estimate","38,798","1,791","12,675","6,670","5,199"
"Knoxville city, Tennessee","","","","",""
"    Estimate","123,677","9,313","34,015","25,101","15,553"
"La Vergne city, Tennessee","","","","",""
"    Estimate","21,344","1,514","7,410","4,137","1,247"
"Lebanon city, Tennessee","","","","",""
"    Estimate","24,558","486","9,699","4,601","2,195"
"Maryville city, Tennessee","","","","",""
"    Estimate","18,913","796","6,118","3,210","2,106"
"Memphis city, Tennessee","","","","",""
"    Estimate","430,632","39,773","136,228","65,766","44,429"
"Morristown city, Tennessee","","","","",""
"    Estimate","20,613","2,483","7,004","2,964","1,413"
"Mount Juliet city, Tennessee","","","","",""
"    Estimate","24,562","1,167","4,125","7,050","4,405"
"Murfreesboro city, Tennessee","","","","",""
"    Estimate","89,649","3,051","18,606","19,623","11,356"
"Nashville-Davidson metropolitan government (balance), Tennessee","","","","",""
"    Estimate","465,969","29,404","94,245","130,797","80,002"
"Oak Ridge city, Tennessee","","","","",""
"    Estimate","19,461","1,507","4,331","3,742","3,291"
"Sevierville city, Tennessee","","","","",""
"    Estimate","12,548","1,515","5,324","1,138","609"
"Shelbyville city, Tennessee","","","","",""
"    Estimate","16,433","2,801","6,503","1,134","975"
"Smyrna town, Tennessee","","","","",""
"    Estimate","34,079","1,977","9,189","7,545","2,369"
"Spring Hill city, Tennessee","","","","",""
"    Estimate","25,600","1,575","4,210","9,305","2,441"
"Abilene city, Texas","","","","",""
"    Estimate","76,764","5,394","25,127","12,453","6,598"
"Alice city, Texas","","","","",""
"    Estimate","12,022","1,014","4,486","1,315","543"
"Allen city, Texas","","","","",""
"    Estimate","67,288","1,295","9,733","22,997","14,041"
"Alvin city, Texas","","","","",""
"    Estimate","17,113","1,476","4,374","2,413","777"
"Amarillo city, Texas","","","","",""
"    Estimate","126,760","10,284","35,929","21,144","10,513"
"Anna city, Texas","","","","",""
"    Estimate","12,657","347","2,864","3,296","3,984"
"Arlington city, Texas","","","","",""
"    Estimate","252,612","18,767","64,667","57,470","27,468"
"Atascocita CDP, Texas","","","","",""
"    Estimate","53,176","2,722","9,179","14,421","7,887"
"Austin city, Texas","","","","",""
"    Estimate","686,879","28,598","97,804","233,048","145,078"
"Balch Springs city, Texas","","","","",""
"    Estimate","16,905","4,911","4,903","1,010","602"
"Baytown city, Texas","","","","",""
"    Estimate","50,157","3,713","17,797","4,962","2,428"
"Beaumont city, Texas","","","","",""
"    Estimate","76,789","5,712","22,335","13,695","7,346"
"Bedford city, Texas","","","","",""
"    Estimate","35,846","1,687","7,873","9,563","2,299"
"Belton city, Texas","","","","",""
"    Estimate","12,348","737","3,955","1,995","1,548"
"Benbrook city, Texas","","","","",""
"    Estimate","17,555","479","4,487","3,969","2,723"
"Big Spring city, Texas","","","","",""
"    Estimate","20,260","1,805","6,796","1,999","829"
"Brownsville city, Texas","","","","",""
"    Estimate","109,378","15,458","27,113","14,881","5,971"
"Bryan city, Texas","","","","",""
"    Estimate","54,547","5,186","15,780","8,143","5,462"
"Burleson city, Texas","","","","",""
"    Estimate","31,623","1,992","11,344","6,144","1,369"
"Canyon Lake CDP, Texas","","","","",""
"    Estimate","19,940","637","4,670","4,864","2,444"
"Carrollton city, Texas","","","","",""
"    Estimate","98,480","5,624","20,424","28,733","11,452"
"Cedar Hill city, Texas","","","","",""
"    Estimate","29,956","1,396","8,601","5,359","2,483"
"Cedar Park city, Texas","","","","",""
"    Estimate","52,352","1,798","9,110","16,930","8,914"
"Channelview CDP, Texas","","","","",""
"    Estimate","29,807","3,211","8,741","2,478","434"
"Cibolo city, Texas","","","","",""
"    Estimate","20,297","248","4,091","5,361","2,964"
"Cleburne city, Texas","","","","",""
"    Estimate","20,511","2,209","8,390","2,797","1,250"
"Cloverleaf CDP, Texas","","","","",""
"    Estimate","15,714","1,746","5,364","1,303","343"
"College Station city, Texas","","","","",""
"    Estimate","52,879","2,015","7,695","17,119","15,813"
"Colleyville city, Texas","","","","",""
"    Estimate","19,030","164","1,672","9,324","3,580"
"Conroe city, Texas","","","","",""
"    Estimate","58,949","6,348","13,641","11,653","4,567"
"Converse city, Texas","","","","",""
"    Estimate","16,377","1,351","3,113","2,657","1,606"
"Coppell city, Texas","","","","",""
"    Estimate","27,278","524","2,122","10,614","8,348"
"Copperas Cove city, Texas","","","","",""
"    Estimate","21,120","1,229","5,562","3,330","971"
"Corinth city, Texas","","","","",""
"    Estimate","15,739","233","2,259","4,241","2,536"
"Corpus Christi city, Texas","","","","",""
"    Estimate","213,562","18,457","65,691","31,590","19,055"
"Corsicana city, Texas","","","","",""
"    Estimate","15,038","1,362","3,886","1,864","652"
"Dallas city, Texas","","","","",""
"    Estimate","882,889","75,935","202,156","190,370","116,308"
"Deer Park city, Texas","","","","",""
"    Estimate","19,915","2,045","6,368","2,593","927"
"Del Rio city, Texas","","","","",""
"    Estimate","22,266","2,272","7,187","2,858","742"
"Denison city, Texas","","","","",""
"    Estimate","16,449","1,004","6,309","1,879","684"
"Denton city, Texas","","","","",""
"    Estimate","86,135","5,559","15,044","24,060","12,688"
"DeSoto city, Texas","","","","",""
"    Estimate","37,371","3,177","9,320","4,636","4,273"
"Duncanville city, Texas","","","","",""
"    Estimate","25,484","2,297","7,095","3,376","1,988"
"Eagle Pass city, Texas","","","","",""
"    Estimate","17,125","2,790","4,919","2,929","208"
"Edinburg city, Texas","","","","",""
"    Estimate","57,440","6,234","13,186","10,626","6,267"
"El Paso city, Texas","","","","",""
"    Estimate","427,304","36,023","106,802","72,042","31,661"
"Ennis city, Texas","","","","",""
"    Estimate","13,157","2,303","3,549","1,404","821"
"Euless city, Texas","","","","",""
"    Estimate","39,482","1,531","8,476","9,963","4,815"
"Farmers Branch city, Texas","","","","",""
"    Estimate","34,884","2,784","8,319","8,791","4,487"
"Flower Mound town, Texas","","","","",""
"    Estimate","55,431","655","7,039","22,320","11,574"
"Forney city, Texas","","","","",""
"    Estimate","17,422","849","3,436","3,855","663"
"Fort Hood CDP, Texas","","","","",""
"    Estimate","5,703","93","1,184","846","569"
"Fort Worth city, Texas","","","","",""
"    Estimate","575,184","49,218","143,183","119,492","60,581"
"Fresno CDP, Texas","","","","",""
"    Estimate","17,045","1,219","6,071","3,048","1,503"
"Friendswood city, Texas","","","","",""
"    Estimate","26,078","618","6,559","6,556","4,477"
"Frisco city, Texas","","","","",""
"    Estimate","126,374","2,873","12,943","46,431","33,538"
"Galveston city, Texas","","","","",""
"    Estimate","33,338","2,326","8,707","5,641","3,199"
"Garland city, Texas","","","","",""
"    Estimate","146,885","13,207","35,203","18,930","11,528"
"Georgetown city, Texas","","","","",""
"    Estimate","55,913","1,345","13,387","15,422","9,413"
"Grand Prairie city, Texas","","","","",""
"    Estimate","119,857","10,754","35,614","20,110","11,449"
"Grapevine city, Texas","","","","",""
"    Estimate","37,607","1,546","4,959","13,850","7,300"
"Greenville city, Texas","","","","",""
"    Estimate","19,929","2,447","6,192","2,978","1,618"
"Haltom City city, Texas","","","","",""
"    Estimate","28,799","3,605","8,467","2,827","1,304"
"Harker Heights city, Texas","","","","",""
"    Estimate","20,196","1,609","4,295","4,304","2,706"
"Harlingen city, Texas","","","","",""
"    Estimate","37,401","3,545","10,658","4,693","2,073"
"Horizon City city, Texas","","","","",""
"    Estimate","13,478","653","2,822","3,381","994"
"Houston city, Texas","","","","",""
"    Estimate","1,528,493","131,534","349,430","315,908","203,860"
"Huntsville city, Texas","","","","",""
"    Estimate","23,692","1,439","9,696","3,631","1,639"
"Hurst city, Texas","","","","",""
"    Estimate","25,757","1,918","4,834","5,649","2,227"
"Hutto city, Texas","","","","",""
"    Estimate","17,651","158","6,266","3,425","753"
"Irving city, Texas","","","","",""
"    Estimate","152,832","12,606","32,677","39,183","23,118"
"Keller city, Texas","","","","",""
"    Estimate","31,943","1,016","4,325","12,014","6,578"
"Kerrville city, Texas","","","","",""
"    Estimate","16,674","615","4,563","3,656","1,600"
"Killeen city, Texas","","","","",""
"    Estimate","90,369","4,492","23,415","12,188","5,141"
"Kingsville city, Texas","","","","",""
"    Estimate","14,334","1,563","3,365","2,640","1,388"
"Kyle city, Texas","","","","",""
"    Estimate","30,532","3,146","9,107","7,024","2,350"
"Lake Jackson city, Texas","","","","",""
"    Estimate","18,235","372","6,052","3,798","1,869"
"La Marque city, Texas","","","","",""
"    Estimate","15,062","1,202","4,410","2,169","1,713"
"Lancaster city, Texas","","","","",""
"    Estimate","26,160","1,494","8,437","4,152","2,043"
"La Porte city, Texas","","","","",""
"    Estimate","24,392","2,478","8,733","2,602","813"
"Laredo city, Texas","","","","",""
"    Estimate","148,897","23,221","29,224","23,053","8,080"
"League City city, Texas","","","","",""
"    Estimate","72,001","1,029","12,425","21,243","12,260"
"Leander city, Texas","","","","",""
"    Estimate","41,901","1,294","9,082","12,727","6,461"
"Lewisville city, Texas","","","","",""
"    Estimate","75,150","4,519","18,446","17,376","9,100"
"Little Elm city, Texas","","","","",""
"    Estimate","29,599","4,571","7,786","6,432","3,176"
"Longview city, Texas","","","","",""
"    Estimate","53,566","4,824","14,533","8,872","3,977"
"Lubbock city, Texas","","","","",""
"    Estimate","151,294","8,512","36,973","30,498","20,880"
"Lufkin city, Texas","","","","",""
"    Estimate","22,834","2,165","6,740","2,815","2,831"
"McAllen city, Texas","","","","",""
"    Estimate","91,947","9,509","19,907","19,014","9,062"
"McKinney city, Texas","","","","",""
"    Estimate","127,996","3,613","22,166","43,058","18,240"
"Mansfield city, Texas","","","","",""
"    Estimate","46,106","1,246","7,532","15,172","6,375"
"Marshall city, Texas","","","","",""
"    Estimate","13,211","1,262","4,405","1,651","744"
"Mesquite city, Texas","","","","",""
"    Estimate","92,928","10,129","30,186","9,730","4,564"
"Midland city, Texas","","","","",""
"    Estimate","91,788","7,228","21,197","20,151","9,597"
"Midlothian city, Texas","","","","",""
"    Estimate","20,605","564","5,035","5,387","2,373"
"Mission city, Texas","","","","",""
"    Estimate","49,704","4,999","12,750","9,460","3,187"
"Mission Bend CDP, Texas","","","","",""
"    Estimate","23,251","1,277","5,037","3,769","1,245"
"Missouri City city, Texas","","","","",""
"    Estimate","53,214","2,569","10,410","14,994","7,989"
"Murphy city, Texas","","","","",""
"    Estimate","13,825","339","2,300","3,384","2,899"
"Nacogdoches city, Texas","","","","",""
"    Estimate","17,096","1,493","4,383","2,826","2,139"
"New Braunfels city, Texas","","","","",""
"    Estimate","60,160","3,254","15,715","14,424","8,178"
"North Richland Hills city, Texas","","","","",""
"    Estimate","50,099","1,741","12,468","12,896","4,639"
"Odessa city, Texas","","","","",""
"    Estimate","75,960","9,112","22,587","8,504","4,582"
"Palestine city, Texas","","","","",""
"    Estimate","13,322","1,248","6,055","1,183","275"
"Paris city, Texas","","","","",""
"    Estimate","17,363","2,153","5,604","1,741","1,471"
"Pasadena city, Texas","","","","",""
"    Estimate","91,838","11,604","29,992","9,615","5,030"
"Pearland city, Texas","","","","",""
"    Estimate","87,811","2,549","17,465","26,227","14,719"
"Pecan Grove CDP, Texas","","","","",""
"    Estimate","13,813","246","3,205","3,172","2,197"
"Pflugerville city, Texas","","","","",""
"    Estimate","44,762","1,468","13,150","12,779","4,687"
"Pharr city, Texas","","","","",""
"    Estimate","44,092","5,886","12,768","4,854","928"
"Plainview city, Texas","","","","",""
"    Estimate","12,605","817","4,089","1,567","1,232"
"Plano city, Texas","","","","",""
"    Estimate","202,746","3,957","28,357","68,655","47,586"
"Port Arthur city, Texas","","","","",""
"    Estimate","32,487","4,767","11,665","1,923","1,301"
"Prosper town, Texas","","","","",""
"    Estimate","14,948","467","2,128","5,568","2,633"
"Richardson city, Texas","","","","",""
"    Estimate","79,920","3,060","9,001","26,919","16,754"
"Rockwall city, Texas","","","","",""
"    Estimate","30,492","690","4,683","7,297","5,478"
"Rosenberg city, Texas","","","","",""
"    Estimate","24,919","3,093","7,352","2,963","1,291"
"Round Rock city, Texas","","","","",""
"    Estimate","86,070","2,999","17,902","24,373","7,591"
"Rowlett city, Texas","","","","",""
"    Estimate","46,129","1,706","9,719","11,673","4,792"
"Sachse city, Texas","","","","",""
"    Estimate","14,401","582","2,044","4,416","2,286"
"Saginaw city, Texas","","","","",""
"    Estimate","15,786","898","5,580","3,026","915"
"San Angelo city, Texas","","","","",""
"    Estimate","63,153","4,590","16,837","9,195","6,981"
"San Antonio city, Texas","","","","",""
"    Estimate","1,010,665","89,700","265,981","165,821","96,682"
"San Benito city, Texas","","","","",""
"    Estimate","13,155","1,576","4,247","378","293"
"San Juan city, Texas","","","","",""
"    Estimate","20,050","3,162","6,496","2,124","420"
"San Marcos city, Texas","","","","",""
"    Estimate","32,601","2,022","7,880","7,428","4,879"
"Schertz city, Texas","","","","",""
"    Estimate","29,243","1,070","6,529","6,698","3,432"
"Seguin city, Texas","","","","",""
"    Estimate","20,593","3,288","8,058","2,988","1,244"
"Sherman city, Texas","","","","",""
"    Estimate","29,404","1,946","9,107","3,124","2,225"
"Sienna Plantation CDP, Texas","","","","",""
"    Estimate","14,425","217","1,297","3,244","5,349"
"Socorro city, Texas","","","","",""
"    Estimate","22,492","3,306","7,187","1,892","109"
"South Houston city, Texas","","","","",""
"    Estimate","10,228","2,290","3,568","466","149"
"Southlake city, Texas","","","","",""
"    Estimate","21,435","270","1,716","8,858","7,140"
"Spring CDP, Texas","","","","",""
"    Estimate","44,629","4,221","12,989","7,777","2,255"
"Stephenville city, Texas","","","","",""
"    Estimate","9,414","306","1,387","2,542","1,102"
"Sugar Land city, Texas","","","","",""
"    Estimate","81,945","2,721","11,689","27,230","20,538"
"Temple city, Texas","","","","",""
"    Estimate","51,383","4,935","13,251","8,054","6,604"
"Texarkana city, Texas","","","","",""
"    Estimate","24,691","2,829","6,657","2,530","1,438"
"Texas City city, Texas","","","","",""
"    Estimate","32,660","2,094","11,729","3,357","1,434"
"The Colony city, Texas","","","","",""
"    Estimate","32,266","2,601","5,819","8,752","4,493"
"The Woodlands CDP, Texas","","","","",""
"    Estimate","79,059","1,099","10,002","28,076","19,440"
"Timberwood Park CDP, Texas","","","","",""
"    Estimate","15,791","0","2,077","5,442","3,072"
"Tyler city, Texas","","","","",""
"    Estimate","69,667","3,842","12,136","15,813","6,961"
"Universal City city, Texas","","","","",""
"    Estimate","16,031","648","5,477","2,929","2,025"
"University Park city, Texas","","","","",""
"    Estimate","14,327","0","763","5,633","6,570"
"Uvalde city, Texas","","","","",""
"    Estimate","11,292","896","3,309","1,714","728"
"Victoria city, Texas","","","","",""
"    Estimate","42,560","3,615","13,295","4,944","3,522"
"Waco city, Texas","","","","",""
"    Estimate","77,058","7,688","20,575","12,982","7,139"
"Watauga city, Texas","","","","",""
"    Estimate","16,570","320","5,770","4,093","535"
"Waxahachie city, Texas","","","","",""
"    Estimate","23,929","1,673","7,444","3,201","2,176"
"Weatherford city, Texas","","","","",""
"    Estimate","22,102","1,820","6,228","2,762","1,813"
"Weslaco city, Texas","","","","",""
"    Estimate","24,739","2,109","5,532","4,184","1,113"
"West Odessa CDP, Texas","","","","",""
"    Estimate","14,763","2,207","3,572","1,307","735"
"West University Place city, Texas","","","","",""
"    Estimate","","","","",""
"Wichita Falls city, Texas","","","","",""
"    Estimate","65,387","6,361","22,701","8,323","6,203"
"Wylie city, Texas","","","","",""
"    Estimate","32,794","1,885","7,403","8,622","2,698"
"American Fork city, Utah","","","","",""
"    Estimate","19,542","244","3,534","5,459","2,610"
"Bountiful city, Utah","","","","",""
"    Estimate","27,589","742","4,522","8,040","3,816"
"Brigham City city, Utah","","","","",""
"    Estimate","12,324","581","3,438","2,156","1,314"
"Cedar City city, Utah","","","","",""
"    Estimate","16,678","530","2,960","4,631","1,671"
"Clearfield city, Utah","","","","",""
"    Estimate","18,856","484","5,633","2,867","1,187"
"Clinton city, Utah","","","","",""
"    Estimate","15,519","994","4,341","3,454","871"
"Cottonwood Heights city, Utah","","","","",""
"    Estimate","23,901","287","3,645","7,415","5,076"
"Draper city, Utah","","","","",""
"    Estimate","29,011","1,245","3,596","9,663","4,897"
"Eagle Mountain city, Utah","","","","",""
"    Estimate","17,441","340","3,105","5,041","1,395"
"Farmington city, Utah","","","","",""
"    Estimate","16,139","87","3,314","4,444","2,319"
"Herriman city, Utah","","","","",""
"    Estimate","24,671","691","5,253","8,715","2,156"
"Holladay city, Utah","","","","",""
"    Estimate","20,907","492","2,214","7,027","4,261"
"Hurricane city, Utah","","","","",""
"    Estimate","16,252","623","4,542","1,386","1,100"
"Kaysville city, Utah","","","","",""
"    Estimate","17,814","63","1,559","6,790","2,389"
"Kearns, Utah","","","","",""
"    Estimate","20,746","2,526","8,493","1,900","645"
"Layton city, Utah","","","","",""
"    Estimate","47,541","1,421","11,494","11,768","5,586"
"Lehi city, Utah","","","","",""
"    Estimate","35,614","708","5,196","11,350","5,279"
"Logan city, Utah","","","","",""
"    Estimate","25,248","2,352","4,505","5,983","3,302"
"Magna, Utah","","","","",""
"    Estimate","14,840","2,499","4,976","1,295","215"
"Midvale city, Utah","","","","",""
"    Estimate","23,004","866","3,916","6,472","2,664"
"Millcreek city, Utah","","","","",""
"    Estimate","44,516","1,168","6,268","15,173","8,920"
"Murray city, Utah","","","","",""
"    Estimate","34,264","990","7,776","7,977","3,983"
"North Salt Lake city, Utah","","","","",""
"    Estimate","10,542","147","2,127","2,642","853"
"Ogden city, Utah","","","","",""
"    Estimate","53,899","4,625","16,582","8,101","3,819"
"Orem city, Utah","","","","",""
"    Estimate","53,028","1,759","8,217","15,510","6,484"
"Payson city, Utah","","","","",""
"    Estimate","11,669","536","3,145","2,087","516"
"Pleasant Grove city, Utah","","","","",""
"    Estimate","20,949","445","3,413","5,638","2,319"
"Provo city, Utah","","","","",""
"    Estimate","48,088","1,160","7,472","15,115","6,663"
"Riverton city, Utah","","","","",""
"    Estimate","25,470","1,859","4,532","6,384","3,770"
"Roy city, Utah","","","","",""
"    Estimate","25,562","1,041","7,947","4,479","1,164"
"St. George city, Utah","","","","",""
"    Estimate","55,569","2,084","11,051","10,397","6,378"
"Salt Lake City city, Utah","","","","",""
"    Estimate","136,970","6,954","25,666","35,748","28,839"
"Sandy city, Utah","","","","",""
"    Estimate","65,155","1,416","11,702","19,381","9,606"
"Saratoga Springs city, Utah","","","","",""
"    Estimate","16,944","0","2,817","6,384","1,574"
"South Jordan city, Utah","","","","",""
"    Estimate","45,428","1,175","7,385","13,792","6,429"
"South Ogden city, Utah","","","","",""
"    Estimate","13,872","391","3,207","3,707","1,064"
"South Salt Lake city, Utah","","","","",""
"    Estimate","17,847","1,087","5,995","3,063","1,712"
"Spanish Fork city, Utah","","","","",""
"    Estimate","21,046","996","5,585","5,198","1,996"
"Springville city, Utah","","","","",""
"    Estimate","17,523","789","3,514","5,072","1,155"
"Syracuse city, Utah","","","","",""
"    Estimate","16,574","298","2,863","4,505","2,059"
"Taylorsville city, Utah","","","","",""
"    Estimate","41,287","2,552","13,181","6,672","1,922"
"Tooele city, Utah","","","","",""
"    Estimate","21,478","1,749","7,750","2,733","915"
"Washington city, Utah","","","","",""
"    Estimate","19,743","915","5,726","2,705","2,000"
"West Jordan city, Utah","","","","",""
"    Estimate","70,386","4,300","21,994","14,128","5,120"
"West Valley City city, Utah","","","","",""
"    Estimate","80,868","7,794","27,435","10,905","2,083"
"Burlington city, Vermont","","","","",""
"    Estimate","22,145","654","2,907","7,650","5,388"
"South Burlington city, Vermont","","","","",""
"    Estimate","15,864","275","3,036","4,260","4,796"
"Alexandria city, Virginia","","","","",""
"    Estimate","122,536","4,829","12,753","38,790","41,947"
"Annandale CDP, Virginia","","","","",""
"    Estimate","28,554","2,177","6,506","6,288","4,776"
"Arlington CDP, Virginia","","","","",""
"    Estimate","175,033","3,794","12,598","60,917","70,155"
"Ashburn CDP, Virginia","","","","",""
"    Estimate","32,619","1,057","3,928","11,388","8,782"
"Bailey's Crossroads CDP, Virginia","","","","",""
"    Estimate","17,247","738","3,643","4,873","2,138"
"Blacksburg town, Virginia","","","","",""
"    Estimate","16,304","112","2,623","4,297","6,775"
"Brambleton CDP, Virginia","","","","",""
"    Estimate","12,864","323","1,120","5,600","3,601"
"Buckhall CDP, Virginia","","","","",""
"    Estimate","13,777","310","2,162","4,246","3,221"
"Burke CDP, Virginia","","","","",""
"    Estimate","27,164","520","2,726","8,684","9,633"
"Cave Spring CDP, Virginia","","","","",""
"    Estimate","18,661","625","2,560","5,572","4,496"
"Centreville CDP, Virginia","","","","",""
"    Estimate","45,864","649","6,538","15,182","12,327"
"Chantilly CDP, Virginia","","","","",""
"    Estimate","15,556","1,127","2,105","5,158","3,811"
"Charlottesville city, Virginia","","","","",""
"    Estimate","29,876","2,320","4,502","8,110","8,172"
"Cherry Hill CDP, Virginia","","","","",""
"    Estimate","12,163","625","1,909","2,426","2,712"
"Chesapeake city, Virginia","","","","",""
"    Estimate","164,745","11,459","40,613","32,329","20,623"
"Chester CDP, Virginia","","","","",""
"    Estimate","13,359","587","3,544","2,198","1,948"
"Christiansburg town, Virginia","","","","",""
"    Estimate","16,695","895","5,185","2,848","2,976"
"Culpeper town, Virginia","","","","",""
"    Estimate","13,140","723","4,746","1,809","2,046"
"Dale City CDP, Virginia","","","","",""
"    Estimate","49,101","3,613","10,923","9,335","6,272"
"Danville city, Virginia","","","","",""
"    Estimate","27,259","4,113","8,783","2,370","1,080"
"Fairfax city, Virginia","","","","",""
"    Estimate","16,479","513","3,557","4,705","4,622"
"Fair Oaks CDP, Virginia","","","","",""
"    Estimate","26,007","261","3,414","9,307","8,203"
"Franconia CDP, Virginia","","","","",""
"    Estimate","15,075","526","1,510","4,981","4,447"
"Fredericksburg city, Virginia","","","","",""
"    Estimate","17,424","1,020","4,694","4,383","3,220"
"Hampton city, Virginia","","","","",""
"    Estimate","91,041","5,528","27,376","14,510","9,398"
"Harrisonburg city, Virginia","","","","",""
"    Estimate","26,296","1,841","6,361","5,754","4,220"
"Herndon town, Virginia","","","","",""
"    Estimate","17,670","781","2,825","5,922","3,972"
"Hopewell city, Virginia","","","","",""
"    Estimate","15,160","2,012","7,140","1,066","474"
"Hybla Valley CDP, Virginia","","","","",""
"    Estimate","15,313","435","3,879","2,045","1,398"
"Lake Ridge CDP, Virginia","","","","",""
"    Estimate","28,176","621","4,736","7,090","6,736"
"Leesburg town, Virginia","","","","",""
"    Estimate","34,846","1,250","4,695","13,138","7,423"
"Lincolnia CDP, Virginia","","","","",""
"    Estimate","14,443","591","3,500","4,380","3,201"
"Linton Hall CDP, Virginia","","","","",""
"    Estimate","26,728","1,144","4,688","10,455","4,296"
"Lorton CDP, Virginia","","","","",""
"    Estimate","13,309","334","2,183","3,811","3,455"
"Lynchburg city, Virginia","","","","",""
"    Estimate","46,645","4,647","10,908","10,760","6,597"
"McLean CDP, Virginia","","","","",""
"    Estimate","33,507","422","1,446","11,721","16,453"
"McNair CDP, Virginia","","","","",""
"    Estimate","16,832","1,226","1,366","7,271","4,586"
"Manassas city, Virginia","","","","",""
"    Estimate","26,257","2,967","6,420","4,933","3,256"
"Marumsco CDP, Virginia","","","","",""
"    Estimate","22,197","1,974","5,157","4,454","2,127"
"Meadowbrook CDP, Virginia","","","","",""
"    Estimate","15,157","1,159","5,297","1,989","875"
"Mechanicsville CDP, Virginia","","","","",""
"    Estimate","26,664","860","7,134","6,371","4,105"
"Montclair CDP, Virginia","","","","",""
"    Estimate","14,905","262","1,360","4,586","3,862"
"Neabsco CDP, Virginia","","","","",""
