"Label (Grouping)","HOUSEHOLDS BY TYPE!!Total households!!Average household size","EDUCATIONAL ATTAINMENT!!Population 25 years and over!!9th to 12th grade, no diploma","EDUCATIONAL ATTAINMENT!!Population 25 years and over!!High school graduate (includes equivalency)","EDUCATIONAL ATTAINMENT!!Population 25 years and over!!Bachelor's degree","EDUCATIONAL ATTAINMENT!!Population 25 years and over!!Graduate or professional degree","COMPUTERS AND INTERNET USE!!Total households!!With a computer","COMPUTERS AND INTERNET USE!!Total households!!With a broadband Internet subscription"
"    Percent","(X)","4.8%","21.1%","25.0%","12.9%","95.4%","91.1%"
"San Marcos city, California","","","","","","",""
"    Estimate","3.10","3,630","12,364","16,096","8,716","29,927","28,480"
"    Percent","(X)","5.8%","19.9%","25.9%","14.0%","97.0%","92.3%"
"San Mateo city, California","","","","","","",""
"    Estimate","2.60","2,733","9,127","22,525","21,000","38,105","37,007"
"    Percent","(X)","3.6%","12.0%","29.5%","27.5%","96.3%","93.5%"
"San Ramon city, California","","","","","","",""
"    Estimate","2.95","1,039","4,599","20,268","15,951","25,395","25,064"
"    Percent","(X)","2.1%","9.1%","40.1%","31.6%","98.8%","97.5%"
"Santa Ana city, California","","","","","","",""
"    Estimate","4.11","36,497","52,420","25,000","12,162","76,646","67,254"
"    Percent","(X)","17.2%","24.8%","11.8%","5.7%","96.2%","84.4%"
"Santa Barbara city, California","","","","","","",""
"    Estimate","2.33","3,061","7,328","20,061","12,838","37,222","36,026"
"    Percent","(X)","4.8%","11.5%","31.5%","20.1%","96.2%","93.2%"
"Santa Clara city, California","","","","","","",""
"    Estimate","2.68","3,282","11,625","28,881","28,099","45,592","44,485"
"    Percent","(X)","3.6%","12.6%","31.3%","30.4%","97.8%","95.4%"
"Santa Clarita city, California","","","","","","",""
"    Estimate","3.01","6,771","25,806","35,089","17,099","68,008","66,336"
"    Percent","(X)","4.8%","18.3%","24.8%","12.1%","97.2%","94.8%"
"Santa Cruz city, California","","","","","","",""
"    Estimate","2.43","430","4,389","10,130","9,086","21,735","20,408"
"    Percent","(X)","1.2%","12.5%","28.9%","25.9%","98.1%","92.1%"
"Santa Maria city, California","","","","","","",""
"    Estimate","3.92","6,098","14,510","5,653","2,636","24,966","24,600"
"    Percent","(X)","10.1%","24.0%","9.4%","4.4%","92.2%","90.8%"
"Santa Monica city, California","","","","","","",""
"    Estimate","1.97","1,307","7,954","27,851","19,170","42,713","41,150"
"    Percent","(X)","1.8%","10.9%","38.1%","26.2%","94.7%","91.2%"
"Santa Rosa city, California","","","","","","",""
"    Estimate","2.64","7,478","25,171","24,922","16,305","63,376","61,618"
"    Percent","(X)","6.1%","20.5%","20.3%","13.3%","96.6%","93.9%"
"Simi Valley city, California","","","","","","",""
"    Estimate","2.96","4,176","20,347","19,915","10,008","39,673","39,279"
"    Percent","(X)","4.6%","22.6%","22.1%","11.1%","94.2%","93.3%"
"South Gate city, California","","","","","","",""
"    Estimate","3.96","9,659","14,526","4,353","845","21,876","19,823"
"    Percent","(X)","16.2%","24.4%","7.3%","1.4%","92.9%","84.1%"
"South San Francisco city, California","","","","","","",""
"    Estimate","3.00","2,690","10,609","16,056","5,876","20,897","20,589"
"    Percent","(X)","5.1%","20.0%","30.2%","11.1%","93.5%","92.1%"
"Stockton city, California","","","","","","",""
"    Estimate","3.18","17,853","58,468","27,423","11,862","89,942","80,748"
"    Percent","(X)","9.1%","29.7%","13.9%","6.0%","93.5%","84.0%"
"Sunnyvale city, California","","","","","","",""
"    Estimate","2.73","2,495","9,577","33,602","38,532","53,762","52,499"
"    Percent","(X)","2.3%","8.7%","30.5%","34.9%","97.0%","94.7%"
"Temecula city, California","","","","","","",""
"    Estimate","3.22","1,750","11,198","18,659","10,515","34,765","34,458"
"    Percent","(X)","2.4%","15.2%","25.4%","14.3%","97.6%","96.7%"
"Thousand Oaks city, California","","","","","","",""
"    Estimate","2.80","2,757","9,820","26,712","20,060","42,160","40,580"
"    Percent","(X)","3.2%","11.5%","31.3%","23.5%","94.5%","90.9%"
"Torrance city, California","","","","","","",""
"    Estimate","2.56","2,578","19,681","38,994","18,932","53,698","52,779"
"    Percent","(X)","2.4%","18.1%","35.8%","17.4%","96.8%","95.1%"
"Tracy city, California","","","","","","",""
"    Estimate","3.53","4,645","15,888","9,925","2,300","26,306","25,610"
"    Percent","(X)","7.7%","26.4%","16.5%","3.8%","98.3%","95.7%"
"Tulare city, California","","","","","","",""
"    Estimate","3.59","4,555","10,056","2,355","544","17,268","16,065"
"    Percent","(X)","13.8%","30.4%","7.1%","1.6%","95.0%","88.4%"
"Turlock city, California","","","","","","",""
"    Estimate","2.84","2,692","10,245","7,937","3,389","24,518","21,455"
"    Percent","(X)","5.9%","22.6%","17.5%","7.5%","95.3%","83.4%"
"Tustin city, California","","","","","","",""
"    Estimate","3.24","3,303","9,475","13,111","8,750","23,275","22,391"
"    Percent","(X)","6.5%","18.6%","25.8%","17.2%","96.5%","92.8%"
"Union City city, California","","","","","","",""
"    Estimate","3.27","2,872","10,637","16,912","9,237","22,273","20,782"
"    Percent","(X)","5.3%","19.5%","31.1%","17.0%","99.1%","92.5%"
"Upland city, California","","","","","","",""
"    Estimate","2.92","3,542","11,741","11,462","5,744","25,043","23,337"
"    Percent","(X)","6.6%","21.9%","21.4%","10.7%","95.6%","89.1%"
"Vacaville city, California","","","","","","",""
"    Estimate","2.86","5,145","16,057","11,001","6,240","31,336","30,644"
"    Percent","(X)","7.3%","22.9%","15.7%","8.9%","96.2%","94.1%"
"Vallejo city, California","","","","","","",""
"    Estimate","2.85","5,427","22,179","14,358","8,307","39,492","37,579"
"    Percent","(X)","6.3%","25.9%","16.8%","9.7%","93.6%","89.0%"
"Victorville city, California","","","","","","",""
"    Estimate","3.67","13,201","21,046","4,877","3,246","29,862","29,028"
"    Percent","(X)","18.4%","29.4%","6.8%","4.5%","92.8%","90.2%"
"Visalia city, California","","","","","","",""
"    Estimate","2.90","5,288","18,817","9,664","5,245","42,301","40,040"
"    Percent","(X)","6.2%","22.0%","11.3%","6.1%","92.2%","87.3%"
"Vista city, California","","","","","","",""
"    Estimate","3.20","6,638","13,245","10,676","4,299","30,342","28,588"
"    Percent","(X)","9.9%","19.8%","15.9%","6.4%","97.6%","92.0%"
"Walnut Creek city, California","","","","","","",""
"    Estimate","2.19","778","4,200","19,442","16,019","30,284","29,334"
"    Percent","(X)","1.4%","7.7%","35.8%","29.5%","96.0%","93.0%"
"West Covina city, California","","","","","","",""
"    Estimate","3.40","4,530","20,919","15,563","5,706","29,051","26,967"
"    Percent","(X)","6.1%","28.0%","20.8%","7.6%","94.7%","87.9%"
"Westminster city, California","","","","","","",""
"    Estimate","3.35","6,607","15,641","12,445","4,535","25,627","24,284"
"    Percent","(X)","10.4%","24.5%","19.5%","7.1%","95.0%","90.0%"
"Whittier city, California","","","","","","",""
"    Estimate","3.10","3,921","16,232","8,559","6,325","23,833","22,319"
"    Percent","(X)","7.1%","29.2%","15.4%","11.4%","88.7%","83.0%"
"Yorba Linda city, California","","","","","","",""
"    Estimate","2.97","1,576","6,748","17,451","8,482","22,341","22,108"
"    Percent","(X)","3.2%","13.6%","35.3%","17.2%","98.5%","97.5%"
"Yuba City city, California","","","","","","",""
"    Estimate","2.72","4,756","9,396","5,684","4,402","21,248","19,921"
"    Percent","(X)","10.6%","21.0%","12.7%","9.8%","87.1%","81.7%"
"Arvada city, Colorado","","","","","","",""
"    Estimate","2.49","2,797","18,807","24,793","14,130","46,517","44,296"
"    Percent","(X)","3.2%","21.7%","28.6%","16.3%","96.2%","91.6%"
"Aurora city, Colorado","","","","","","",""
"    Estimate","2.77","15,023","62,154","49,365","28,510","131,018","127,280"
"    Percent","(X)","6.0%","24.9%","19.7%","11.4%","96.0%","93.3%"
"Boulder city, Colorado","","","","","","",""
"    Estimate","2.22","1,395","3,128","23,419","24,915","41,397","38,880"
"    Percent","(X)","2.3%","5.1%","38.2%","40.6%","97.5%","91.6%"
"Broomfield city, Colorado","","","","","","",""
"    Estimate","2.50","989","6,653","16,344","11,832","27,710","26,388"
"    Percent","(X)","2.0%","13.4%","33.0%","23.9%","98.7%","94.0%"
"Castle Rock town, Colorado","","","","","","",""
"    Estimate","2.85","943","6,716","13,589","7,836","22,777","22,343"
"    Percent","(X)","2.1%","15.0%","30.3%","17.5%","95.7%","93.9%"
"Centennial city, Colorado","","","","","","",""
"    Estimate","2.70","1,827","10,269","26,536","17,665","39,808","38,665"
"    Percent","(X)","2.4%","13.2%","34.2%","22.7%","99.1%","96.3%"
"Colorado Springs city, Colorado","","","","","","",""
"    Estimate","2.49","11,304","64,569","80,435","49,736","181,599","175,587"
"    Percent","(X)","3.5%","20.0%","24.9%","15.4%","96.2%","93.0%"
"Denver city, Colorado","","","","","","",""
"    Estimate","2.24","24,443","90,398","173,093","108,630","303,632","291,375"
"    Percent","(X)","4.6%","17.0%","32.6%","20.5%","95.3%","91.5%"
"Fort Collins city, Colorado","","","","","","",""
"    Estimate","2.28","1,662","16,963","35,598","24,725","69,909","64,894"
"    Percent","(X)","1.6%","16.2%","33.9%","23.6%","98.7%","91.6%"
"Greeley city, Colorado","","","","","","",""
"    Estimate","2.67","4,573","16,421","9,757","8,035","36,683","33,398"
"    Percent","(X)","6.7%","24.1%","14.3%","11.8%","95.8%","87.2%"
"Highlands Ranch CDP, Colorado","","","","","","",""
"    Estimate","2.69","803","5,399","27,412","15,667","36,912","36,192"
"    Percent","(X)","1.2%","8.2%","41.4%","23.7%","99.5%","97.6%"
"Lakewood city, Colorado","","","","","","",""
"    Estimate","2.29","5,841","26,513","35,064","16,876","64,960","62,585"
"    Percent","(X)","5.0%","22.9%","30.3%","14.6%","95.7%","92.2%"
"Longmont city, Colorado","","","","","","",""
"    Estimate","2.40","2,539","10,261","21,305","12,182","38,735","36,846"
"    Percent","(X)","3.8%","15.2%","31.6%","18.0%","96.9%","92.2%"
"Loveland city, Colorado","","","","","","",""
"    Estimate","2.35","2,473","13,105","14,665","6,807","32,117","30,468"
"    Percent","(X)","4.4%","23.5%","26.3%","12.2%","96.2%","91.2%"
"Pueblo city, Colorado","","","","","","",""
"    Estimate","2.43","5,370","22,959","10,612","4,695","39,170","36,467"
"    Percent","(X)","7.1%","30.3%","14.0%","6.2%","87.2%","81.1%"
"Thornton city, Colorado","","","","","","",""
"    Estimate","3.01","8,237","26,564","18,241","7,552","45,840","44,348"
"    Percent","(X)","8.9%","28.8%","19.8%","8.2%","97.7%","94.6%"
"Westminster city, Colorado","","","","","","",""
"    Estimate","2.57","4,214","16,947","21,097","11,495","42,162","40,544"
"    Percent","(X)","5.3%","21.5%","26.7%","14.6%","96.1%","92.4%"
"Bridgeport city, Connecticut","","","","","","",""
"    Estimate","2.80","9,570","31,634","9,127","6,914","44,256","41,319"
"    Percent","(X)","10.5%","34.7%","10.0%","7.6%","88.3%","82.5%"
"Danbury city, Connecticut","","","","","","",""
"    Estimate","2.52","4,746","16,719","12,771","6,610","30,305","28,917"
"    Percent","(X)","7.7%","27.2%","20.8%","10.7%","93.8%","89.5%"
"Hartford city, Connecticut","","","","","","",""
"    Estimate","2.38","10,802","24,278","6,420","4,783","43,735","38,961"
"    Percent","(X)","14.3%","32.2%","8.5%","6.3%","90.8%","80.9%"
"New Britain city, Connecticut","","","","","","",""
"    Estimate","2.37","5,712","17,100","5,758","2,916","26,308","23,699"
"    Percent","(X)","12.1%","36.2%","12.2%","6.2%","89.6%","80.7%"
"New Haven city, Connecticut","","","","","","",""
"    Estimate","2.57","6,997","28,055","12,827","14,078","42,213","40,542"
"    Percent","(X)","8.4%","33.8%","15.5%","17.0%","89.8%","86.3%"
"Norwalk city, Connecticut","","","","","","",""
"    Estimate","2.62","2,182","14,800","18,678","11,238","32,323","31,113"
"    Percent","(X)","3.4%","22.9%","28.9%","17.4%","96.2%","92.6%"
"Stamford city, Connecticut","","","","","","",""
"    Estimate","2.58","3,898","17,774","27,803","21,991","47,178","45,579"
"    Percent","(X)","4.2%","19.0%","29.8%","23.6%","94.9%","91.7%"
"Waterbury city, Connecticut","","","","","","",""
"    Estimate","2.51","7,866","26,016","6,732","4,794","36,522","31,747"
"    Percent","(X)","11.3%","37.3%","9.7%","6.9%","86.7%","75.4%"
"Wilmington city, Delaware","","","","","","",""
"    Estimate","2.10","4,298","19,739","8,292","6,359","29,322","25,932"
"    Percent","(X)","8.5%","39.1%","16.4%","12.6%","92.3%","81.7%"
"Washington city, District of Columbia","","","","","","",""
"    Estimate","2.29","24,709","79,881","129,825","171,604","275,282","254,446"
"    Percent","(X)","4.9%","15.8%","25.7%","34.0%","94.4%","87.3%"
"Alafaya CDP, Florida","","","","","","",""
"    Estimate","3.14","2,725","15,801","16,495","7,635","29,648","29,188"
"    Percent","(X)","4.4%","25.2%","26.4%","12.2%","96.5%","95.0%"
"Boca Raton city, Florida","","","","","","",""
"    Estimate","2.35","1,989","10,377","23,450","16,643","39,083","37,136"
"    Percent","(X)","2.8%","14.5%","32.8%","23.3%","95.7%","90.9%"
"Boynton Beach city, Florida","","","","","","",""
"    Estimate","2.45","2,980","15,342","13,345","6,653","29,679","27,094"
"    Percent","(X)","4.9%","25.2%","21.9%","10.9%","93.1%","85.0%"
"Brandon CDP, Florida","","","","","","",""
"    Estimate","2.64","5,386","21,178","19,649","8,796","42,395","40,746"
"    Percent","(X)","6.4%","25.3%","23.5%","10.5%","98.5%","94.7%"
"Cape Coral city, Florida","","","","","","",""
"    Estimate","2.89","7,622","52,109","24,141","11,686","65,609","63,648"
"    Percent","(X)","5.2%","35.8%","16.6%","8.0%","97.7%","94.7%"
"Clearwater city, Florida","","","","","","",""
"    Estimate","2.35","5,624","20,626","21,631","10,826","45,849","41,886"
"    Percent","(X)","6.3%","22.9%","24.1%","12.0%","94.3%","86.1%"
"Coral Springs city, Florida","","","","","","",""
"    Estimate","3.24","1,676","21,812","20,628","12,163","40,214","38,718"
"    Percent","(X)","2.0%","25.7%","24.3%","14.3%","97.5%","93.9%"
"Davie town, Florida","","","","","","",""
"    Estimate","2.93","3,852","14,386","15,809","9,959","34,984","34,002"
"    Percent","(X)","5.6%","20.8%","22.9%","14.4%","98.0%","95.2%"
"Daytona Beach city, Florida","","","","","","",""
"    Estimate","2.27","2,783","18,018","6,556","3,826","26,855","22,935"
"    Percent","(X)","5.5%","35.7%","13.0%","7.6%","93.1%","79.5%"
"Deerfield Beach city, Florida","","","","","","",""
"    Estimate","2.38","4,053","17,300","13,740","6,046","31,035","29,441"
"    Percent","(X)","6.5%","27.5%","21.9%","9.6%","92.8%","88.0%"
"Delray Beach city, Florida","","","","","","",""
"    Estimate","2.39","2,288","13,276","13,230","7,625","26,451","24,334"
"    Percent","(X)","4.3%","24.7%","24.6%","14.2%","92.7%","85.2%"
"Deltona city, Florida","","","","","","",""
"    Estimate","2.91","5,039","22,927","6,568","3,328","30,805","28,556"
"    Percent","(X)","8.1%","37.1%","10.6%","5.4%","96.9%","89.8%"
"Doral city, Florida","","","","","","",""
"    Estimate","3.33","7,544","5,747","10,802","11,528","19,556","18,422"
"    Percent","(X)","17.3%","13.2%","24.7%","26.4%","99.2%","93.4%"
"Fort Lauderdale city, Florida","","","","","","",""
"    Estimate","2.34","8,193","34,650","32,727","21,174","72,813","65,750"
"    Percent","(X)","5.9%","24.8%","23.4%","15.1%","95.4%","86.1%"
"Fort Myers city, Florida","","","","","","",""
"    Estimate","2.69","3,914","18,493","10,269","7,357","27,919","26,964"
"    Percent","(X)","6.4%","30.1%","16.7%","12.0%","90.8%","87.7%"
"Fountainebleau CDP, Florida","","","","","","",""
"    Estimate","3.00","11,674","9,955","13,627","6,641","22,092","20,553"
"    Percent","(X)","21.5%","18.3%","25.0%","12.2%","96.5%","89.8%"
"Gainesville city, Florida","","","","","","",""
"    Estimate","2.32","3,512","13,275","17,776","15,593","50,310","44,932"
"    Percent","(X)","4.9%","18.4%","24.6%","21.6%","96.8%","86.4%"
"Hialeah city, Florida","","","","","","",""
"    Estimate","3.05","24,947","52,435","21,871","10,009","65,414","57,015"
"    Percent","(X)","14.6%","30.7%","12.8%","5.9%","86.1%","75.0%"
"Hollywood city, Florida","","","","","","",""
"    Estimate","2.78","6,695","33,473","20,507","12,223","53,121","49,760"
"    Percent","(X)","6.1%","30.3%","18.6%","11.1%","96.3%","90.2%"
"Homestead city, Florida","","","","","","",""
"    Estimate","3.40","3,018","8,938","7,438","2,422","19,829","18,742"
"    Percent","(X)","7.4%","21.9%","18.3%","5.9%","97.6%","92.2%"
"Jacksonville city, Florida","","","","","","",""
"    Estimate","2.54","41,961","182,477","120,333","61,536","326,919","307,841"
"    Percent","(X)","6.7%","29.2%","19.3%","9.9%","93.6%","88.2%"
"Jupiter town, Florida","","","","","","",""
"    Estimate","2.43","1,500","8,649","14,753","9,300","26,118","25,083"
"    Percent","(X)","3.1%","18.1%","30.9%","19.5%","96.9%","93.0%"
"Kendall CDP, Florida","","","","","","",""
"    Estimate","2.76","3,025","12,176","15,991","10,799","27,570","24,243"
"    Percent","(X)","5.0%","20.1%","26.3%","17.8%","96.4%","84.7%"
"Kissimmee city, Florida","","","","","","",""
"    Estimate","3.18","3,192","13,650","7,627","2,876","21,010","17,889"
"    Percent","(X)","6.7%","28.5%","15.9%","6.0%","92.5%","78.8%"
"Lakeland city, Florida","","","","","","",""
"    Estimate","2.67","6,468","24,174","12,240","6,213","36,140","31,193"
"    Percent","(X)","8.4%","31.4%","15.9%","8.1%","89.8%","77.5%"
"Largo city, Florida","","","","","","",""
"    Estimate","2.49","5,188","18,831","11,494","5,011","31,431","28,298"
"    Percent","(X)","8.1%","29.4%","18.0%","7.8%","93.3%","84.0%"
"Lauderhill city, Florida","","","","","","",""
"    Estimate","2.90","4,158","19,175","6,713","4,067","22,140","20,245"
"    Percent","(X)","8.8%","40.4%","14.1%","8.6%","89.9%","82.2%"
"Lehigh Acres CDP, Florida","","","","","","",""
"    Estimate","3.48","10,293","31,073","10,987","4,924","37,703","33,161"
"    Percent","(X)","11.6%","35.1%","12.4%","5.6%","97.5%","85.8%"
"Melbourne city, Florida","","","","","","",""
"    Estimate","2.54","4,275","19,424","10,272","5,498","28,690","27,670"
"    Percent","(X)","7.1%","32.0%","16.9%","9.1%","90.6%","87.3%"
"Miami city, Florida","","","","","","",""
"    Estimate","2.43","34,464","94,729","68,799","43,749","173,640","133,863"
"    Percent","(X)","9.6%","26.4%","19.2%","12.2%","91.8%","70.8%"
"Miami Beach city, Florida","","","","","","",""
"    Estimate","2.20","4,350","13,613","17,774","13,374","37,772","32,521"
"    Percent","(X)","6.3%","19.8%","25.8%","19.4%","94.2%","81.1%"
"Miami Gardens city, Florida","","","","","","",""
"    Estimate","3.38","6,339","26,654","6,410","2,890","29,692","23,502"
"    Percent","(X)","8.7%","36.5%","8.8%","4.0%","92.3%","73.1%"
"Miramar city, Florida","","","","","","",""
"    Estimate","3.54","3,675","36,426","13,446","9,913","39,283","34,048"
"    Percent","(X)","3.9%","38.7%","14.3%","10.5%","98.6%","85.4%"
"North Port city, Florida","","","","","","",""
"    Estimate","2.71","4,268","14,359","7,081","4,912","25,404","23,984"
"    Percent","(X)","8.6%","29.0%","14.3%","9.9%","97.7%","92.2%"
"Orlando city, Florida","","","","","","",""
"    Estimate","2.61","9,690","48,435","56,502","26,601","104,724","100,339"
"    Percent","(X)","4.8%","23.9%","27.8%","13.1%","95.7%","91.7%"
"Palm Bay city, Florida","","","","","","",""
"    Estimate","2.99","5,720","29,021","10,905","6,208","35,632","33,834"
"    Percent","(X)","6.8%","34.7%","13.0%","7.4%","92.5%","87.9%"
"Palm Coast city, Florida","","","","","","",""
"    Estimate","2.63","4,494","24,519","10,857","5,505","32,009","25,878"
"    Percent","(X)","6.5%","35.4%","15.7%","7.9%","93.9%","75.9%"
"Pembroke Pines city, Florida","","","","","","",""
"    Estimate","3.01","4,862","39,640","27,409","14,534","55,075","48,749"
"    Percent","(X)","4.0%","32.7%","22.6%","12.0%","96.0%","84.9%"
"Pine Hills CDP, Florida","","","","","","",""
"    Estimate","3.86","10,821","18,828","5,665","2,598","23,582","19,525"
"    Percent","(X)","18.2%","31.6%","9.5%","4.4%","96.2%","79.7%"
"Plantation city, Florida","","","","","","",""
"    Estimate","2.60","3,407","12,281","17,258","10,483","35,413","34,292"
"    Percent","(X)","4.9%","17.6%","24.8%","15.1%","97.8%","94.7%"
"Poinciana CDP, Florida","","","","","","",""
"    Estimate","3.58","4,922","13,541","3,082","3,682","19,182","17,394"
"    Percent","(X)","10.8%","29.7%","6.8%","8.1%","94.8%","85.9%"
"Pompano Beach city, Florida","","","","","","",""
"    Estimate","2.44","8,498","21,823","15,905","9,561","38,726","35,979"
"    Percent","(X)","9.9%","25.3%","18.5%","11.1%","87.4%","81.2%"
"Port Charlotte CDP, Florida","","","","","","",""
"    Estimate","2.69","5,367","18,740","6,219","2,965","22,425","21,014"
"    Percent","(X)","10.4%","36.4%","12.1%","5.8%","92.0%","86.2%"
"Port St. Lucie city, Florida","","","","","","",""
"    Estimate","2.94","10,596","46,906","23,321","10,659","66,710","64,761"
"    Percent","(X)","7.3%","32.5%","16.2%","7.4%","97.4%","94.6%"
"Riverview CDP, Florida","","","","","","",""
"    Estimate","2.70","2,780","19,541","14,260","7,031","35,320","34,023"
"    Percent","(X)","4.1%","29.1%","21.3%","10.5%","98.2%","94.6%"
"St. Petersburg city, Florida","","","","","","",""
"    Estimate","2.35","9,861","48,901","49,359","28,871","103,664","99,041"
"    Percent","(X)","4.9%","24.3%","24.6%","14.4%","93.9%","89.7%"
"Spring Hill CDP, Florida","","","","","","",""
"    Estimate","2.57","7,030","26,593","11,363","5,083","42,155","41,207"
"    Percent","(X)","8.5%","32.3%","13.8%","6.2%","96.5%","94.3%"
"Sunrise city, Florida","","","","","","",""
"    Estimate","2.40","3,507","24,130","13,292","5,878","37,900","34,631"
"    Percent","(X)","4.8%","33.2%","18.3%","8.1%","96.1%","87.8%"
"Tallahassee city, Florida","","","","","","",""
"    Estimate","2.33","5,065","18,044","27,646","23,059","74,178","69,048"
"    Percent","(X)","4.8%","17.1%","26.2%","21.9%","96.7%","90.0%"
"Tamarac city, Florida","","","","","","",""
"    Estimate","2.54","3,639","16,400","7,495","2,874","24,195","21,444"
"    Percent","(X)","7.4%","33.4%","15.3%","5.9%","92.6%","82.1%"
"Tampa city, Florida","","","","","","",""
"    Estimate","2.52","17,160","68,517","64,832","47,132","146,601","139,074"
"    Percent","(X)","6.3%","25.1%","23.8%","17.3%","95.2%","90.4%"
"The Hammocks CDP, Florida","","","","","","",""
"    Estimate","3.34","1,078","8,647","14,853","5,576","19,492","19,107"
"    Percent","(X)","2.4%","19.6%","33.6%","12.6%","99.4%","97.4%"
"The Villages CDP, Florida","","","","","","",""
"    Estimate","1.83","1,712","19,801","21,329","13,552","45,778","43,398"
"    Percent","(X)","2.0%","23.3%","25.1%","15.9%","98.0%","92.9%"
"Town 'n' Country CDP, Florida","","","","","","",""
"    Estimate","2.96","4,190","22,518","14,949","7,011","32,589","31,425"
"    Percent","(X)","6.0%","32.2%","21.4%","10.0%","98.1%","94.6%"
"Wellington village, Florida","","","","","","",""
"    Estimate","2.91","623","10,942","10,971","7,658","22,003","21,497"
"    Percent","(X)","1.4%","24.1%","24.1%","16.9%","97.8%","95.5%"
"Wesley Chapel CDP, Florida","","","","","","",""
"    Estimate","3.03","1,113","7,641","11,967","7,155","20,463","20,091"
"    Percent","(X)","2.7%","18.7%","29.2%","17.5%","99.4%","97.6%"
"Weston city, Florida","","","","","","",""
"    Estimate","3.49","80","8,474","16,149","12,511","20,420","N"
"    Percent","(X)","0.2%","18.5%","35.3%","27.3%","100.0%","N"
"West Palm Beach city, Florida","","","","","","",""
"    Estimate","2.61","4,951","18,465","14,808","10,676","40,083","36,008"
"    Percent","(X)","6.4%","23.9%","19.1%","13.8%","96.2%","86.4%"
"Albany city, Georgia","","","","","","",""
"    Estimate","2.59","6,135","12,951","3,405","4,015","21,127","18,418"
"    Percent","(X)","14.3%","30.1%","7.9%","9.3%","82.4%","71.8%"
"Alpharetta city, Georgia","","","","","","",""
"    Estimate","2.63","812","3,527","20,079","15,395","24,565","23,729"
"    Percent","(X)","1.7%","7.5%","42.4%","32.5%","96.7%","93.5%"
"Athens-Clarke County unified government (balance), Georgia","","","","","","",""
"    Estimate","2.22","4,675","11,318","17,400","16,795","48,209","44,248"
"    Percent","(X)","6.6%","16.0%","24.6%","23.7%","93.4%","85.7%"
"Atlanta city, Georgia","","","","","","",""
"    Estimate","2.09","20,872","59,992","113,599","85,645","210,475","196,690"
"    Percent","(X)","5.9%","17.0%","32.2%","24.3%","94.1%","87.9%"
"Augusta-Richmond County consolidated government (balance), Georgia","","","","","","",""
"    Estimate","2.80","11,590","45,551","16,111","10,158","61,507","54,874"
"    Percent","(X)","8.9%","35.1%","12.4%","7.8%","92.0%","82.1%"
"Columbus city, Georgia","","","","","","",""
"    Estimate","2.59","9,385","33,601","16,638","14,898","66,651","61,700"
"    Percent","(X)","7.4%","26.3%","13.0%","11.7%","91.1%","84.4%"
"Johns Creek city, Georgia","","","","","","",""
"    Estimate","2.94","586","4,728","21,761","16,539","28,447","28,195"
"    Percent","(X)","1.1%","8.6%","39.6%","30.1%","99.3%","98.5%"
"Macon-Bibb County, Georgia","","","","","","",""
"    Estimate","2.60","9,067","30,714","13,643","11,370","49,968","46,527"
"    Percent","(X)","9.0%","30.6%","13.6%","11.3%","88.1%","82.0%"
"Roswell city, Georgia","","","","","","",""
"    Estimate","2.62","2,554","7,262","25,028","15,305","34,867","34,516"
"    Percent","(X)","3.9%","11.0%","38.1%","23.3%","97.0%","96.0%"
"Sandy Springs city, Georgia","","","","","","",""
"    Estimate","2.06","1,334","7,200","31,890","25,070","51,811","49,564"
"    Percent","(X)","1.7%","8.9%","39.5%","31.0%","98.1%","93.8%"
"Savannah city, Georgia","","","","","","",""
"    Estimate","2.51","8,819","24,266","18,211","8,523","49,030","44,690"
"    Percent","(X)","9.2%","25.2%","18.9%","8.9%","91.9%","83.7%"
"South Fulton city, Georgia","","","","","","",""
"    Estimate","3.05","1,779","14,963","17,467","8,375","31,625","29,758"
"    Percent","(X)","2.8%","23.1%","27.0%","12.9%","97.4%","91.7%"
"Warner Robins city, Georgia","","","","","","",""
"    Estimate","2.59","2,887","15,468","7,427","5,932","27,226","25,489"
"    Percent","(X)","6.0%","32.2%","15.4%","12.3%","91.5%","85.7%"
"Urban Honolulu CDP, Hawaii","","","","","","",""
"    Estimate","2.52","11,298","60,960","62,788","37,015","121,508","114,815"
"    Percent","(X)","4.4%","23.6%","24.3%","14.3%","92.1%","87.1%"
"Boise City city, Idaho","","","","","","",""
"    Estimate","2.36","7,006","31,252","39,741","27,213","92,515","86,517"
"    Percent","(X)","4.4%","19.7%","25.1%","17.2%","97.0%","90.7%"
"Meridian city, Idaho","","","","","","",""
"    Estimate","2.83","2,515","10,784","18,880","9,011","39,516","37,943"
"    Percent","(X)","3.5%","15.1%","26.4%","12.6%","98.3%","94.4%"
"Nampa city, Idaho","","","","","","",""
"    Estimate","2.80","3,170","18,351","9,379","3,712","33,109","31,854"
"    Percent","(X)","5.1%","29.8%","15.2%","6.0%","95.1%","91.5%"
"Arlington Heights village, Illinois","","","","","","",""
"    Estimate","2.47","1,102","9,760","18,403","11,958","27,040","25,378"
"    Percent","(X)","2.1%","18.5%","34.9%","22.7%","94.1%","88.3%"
"Aurora city, Illinois","","","","","","",""
"    Estimate","3.08","11,378","26,623","24,015","19,216","60,359","55,476"
"    Percent","(X)","9.0%","21.1%","19.0%","15.2%","94.4%","86.7%"
"Bloomington city, Illinois","","","","","","",""
"    Estimate","2.38","2,649","8,883","16,019","8,689","29,380","26,038"
