"Label (Grouping)","Total:","Total:!!With public coverage","Total:!!No public coverage"
"Upper Arlington city, Ohio","","",""
"    Estimate","35,225","6,464","28,761"
"Wadsworth city, Ohio","","",""
"    Estimate","23,779","6,673","17,106"
"Warren city, Ohio","","",""
"    Estimate","36,638","21,023","15,615"
"Westerville city, Ohio","","",""
"    Estimate","39,545","8,590","30,955"
"Westlake city, Ohio","","",""
"    Estimate","31,420","8,893","22,527"
"Whitehall city, Ohio","","",""
"    Estimate","23,869","10,778","13,091"
"Willoughby city, Ohio","","",""
"    Estimate","20,624","7,446","13,178"
"Wooster city, Ohio","","",""
"    Estimate","26,126","9,925","16,201"
"Xenia city, Ohio","","",""
"    Estimate","26,207","12,997","13,210"
"Youngstown city, Ohio","","",""
"    Estimate","62,769","41,538","21,231"
"Zanesville city, Ohio","","",""
"    Estimate","24,627","15,448","9,179"
"Ardmore city, Oklahoma","","",""
"    Estimate","24,633","8,726","15,907"
"Bartlesville city, Oklahoma","","",""
"    Estimate","38,214","12,971","25,243"
"Bethany city, Oklahoma","","",""
"    Estimate","20,596","7,713","12,883"
"Bixby city, Oklahoma","","",""
"    Estimate","27,948","6,225","21,723"
"Broken Arrow city, Oklahoma","","",""
"    Estimate","110,129","27,659","82,470"
"Duncan city, Oklahoma","","",""
"    Estimate","23,200","9,141","14,059"
"Edmond city, Oklahoma","","",""
"    Estimate","92,974","21,897","71,077"
"Enid city, Oklahoma","","",""
"    Estimate","46,745","13,963","32,782"
"Jenks city, Oklahoma","","",""
"    Estimate","26,102","4,875","21,227"
"Lawton city, Oklahoma","","",""
"    Estimate","80,372","32,635","47,737"
"Midwest City city, Oklahoma","","",""
"    Estimate","56,755","22,512","34,243"
"Moore city, Oklahoma","","",""
"    Estimate","60,746","16,027","44,719"
"Muskogee city, Oklahoma","","",""
"    Estimate","36,342","18,727","17,615"
"Mustang city, Oklahoma","","",""
"    Estimate","22,927","5,576","17,351"
"Norman city, Oklahoma","","",""
"    Estimate","123,882","31,678","92,204"
"Oklahoma City city, Oklahoma","","",""
"    Estimate","644,668","213,499","431,169"
"Owasso city, Oklahoma","","",""
"    Estimate","36,756","7,758","28,998"
"Ponca City city, Oklahoma","","",""
"    Estimate","24,019","9,214","14,805"
"Sand Springs city, Oklahoma","","",""
"    Estimate","20,092","7,220","12,872"
"Sapulpa city, Oklahoma","","",""
"    Estimate","21,749","8,033","13,716"
"Shawnee city, Oklahoma","","",""
"    Estimate","31,002","10,871","20,131"
"Stillwater city, Oklahoma","","",""
"    Estimate","49,812","9,798","40,014"
"Tulsa city, Oklahoma","","",""
"    Estimate","398,002","141,269","256,733"
"Yukon city, Oklahoma","","",""
"    Estimate","27,705","8,920","18,785"
"Albany city, Oregon","","",""
"    Estimate","55,734","21,618","34,116"
"Aloha CDP, Oregon","","",""
"    Estimate","54,411","14,889","39,522"
"Ashland city, Oregon","","",""
"    Estimate","19,191","9,561","9,630"
"Beaverton city, Oregon","","",""
"    Estimate","97,510","23,613","73,897"
"Bend city, Oregon","","",""
"    Estimate","100,198","32,582","67,616"
"Bethany CDP, Oregon","","",""
"    Estimate","27,948","4,126","23,822"
"Central Point city, Oregon","","",""
"    Estimate","19,466","9,172","10,294"
"Corvallis city, Oregon","","",""
"    Estimate","58,672","16,847","41,825"
"Eugene city, Oregon","","",""
"    Estimate","171,616","62,034","109,582"
"Forest Grove city, Oregon","","",""
"    Estimate","25,436","10,723","14,713"
"Grants Pass city, Oregon","","",""
"    Estimate","37,655","21,675","15,980"
"Gresham city, Oregon","","",""
"    Estimate","108,823","43,665","65,158"
"Happy Valley city, Oregon","","",""
"    Estimate","21,671","5,297","16,374"
"Hayesville CDP, Oregon","","",""
"    Estimate","21,860","10,364","11,496"
"Hillsboro city, Oregon","","",""
"    Estimate","108,009","28,637","79,372"
"Keizer city, Oregon","","",""
"    Estimate","39,565","17,260","22,305"
"Klamath Falls city, Oregon","","",""
"    Estimate","21,554","11,835","9,719"
"Lake Oswego city, Oregon","","",""
"    Estimate","39,740","12,897","26,843"
"Lebanon city, Oregon","","",""
"    Estimate","20,550","7,623","12,927"
"McMinnville city, Oregon","","",""
"    Estimate","34,299","13,363","20,936"
"Medford city, Oregon","","",""
"    Estimate","81,950","39,959","41,991"
"Milwaukie city, Oregon","","",""
"    Estimate","20,784","7,501","13,283"
"Newberg city, Oregon","","",""
"    Estimate","25,020","8,080","16,940"
"Oak Grove CDP, Oregon","","",""
"    Estimate","21,788","7,391","14,397"
"Oregon City city, Oregon","","",""
"    Estimate","36,638","10,191","26,447"
"Portland city, Oregon","","",""
"    Estimate","649,033","192,123","456,910"
"Redmond city, Oregon","","",""
"    Estimate","32,408","14,348","18,060"
"Roseburg city, Oregon","","",""
"    Estimate","24,932","11,977","12,955"
"Salem city, Oregon","","",""
"    Estimate","169,451","69,760","99,691"
"Springfield city, Oregon","","",""
"    Estimate","62,907","29,903","33,004"
"Tigard city, Oregon","","",""
"    Estimate","55,334","13,607","41,727"
"Tualatin city, Oregon","","",""
"    Estimate","29,087","9,132","19,955"
"West Linn city, Oregon","","",""
"    Estimate","26,649","5,814","20,835"
"Wilsonville city, Oregon","","",""
"    Estimate","24,082","6,838","17,244"
"Woodburn city, Oregon","","",""
"    Estimate","26,190","11,686","14,504"
"Allentown city, Pennsylvania","","",""
"    Estimate","119,185","62,834","56,351"
"Allison Park CDP, Pennsylvania","","",""
"    Estimate","21,129","5,801","15,328"
"Altoona city, Pennsylvania","","",""
"    Estimate","43,013","21,636","21,377"
"Baldwin borough, Pennsylvania","","",""
"    Estimate","20,942","8,259","12,683"
"Bethel Park municipality, Pennsylvania","","",""
"    Estimate","32,106","8,833","23,273"
"Bethlehem city, Pennsylvania","","",""
"    Estimate","75,094","28,760","46,334"
"Carlisle borough, Pennsylvania","","",""
"    Estimate","19,382","7,470","11,912"
"Chambersburg borough, Pennsylvania","","",""
"    Estimate","26,270","10,971","15,299"
"Chester city, Pennsylvania","","",""
"    Estimate","32,620","17,594","15,026"
"Drexel Hill CDP, Pennsylvania","","",""
"    Estimate","27,059","9,806","17,253"
"Easton city, Pennsylvania","","",""
"    Estimate","26,214","10,825","15,389"
"Erie city, Pennsylvania","","",""
"    Estimate","92,867","52,865","40,002"
"Harrisburg city, Pennsylvania","","",""
"    Estimate","48,974","25,305","23,669"
"Hazleton city, Pennsylvania","","",""
"    Estimate","24,540","13,193","11,347"
"King of Prussia CDP, Pennsylvania","","",""
"    Estimate","22,857","6,112","16,745"
"Lancaster city, Pennsylvania","","",""
"    Estimate","58,062","24,022","34,040"
"Lebanon city, Pennsylvania","","",""
"    Estimate","25,773","14,314","11,459"
"Levittown CDP, Pennsylvania","","",""
"    Estimate","47,421","15,438","31,983"
"Monroeville municipality, Pennsylvania","","",""
"    Estimate","26,566","9,655","16,911"
"Murrysville municipality, Pennsylvania","","",""
"    Estimate","19,858","7,729","12,129"
"New Castle city, Pennsylvania","","",""
"    Estimate","20,580","13,864","6,716"
"Norristown borough, Pennsylvania","","",""
"    Estimate","34,082","14,793","19,289"
"Philadelphia city, Pennsylvania","","",""
"    Estimate","1,570,389","739,525","830,864"
"Pittsburgh city, Pennsylvania","","",""
"    Estimate","294,736","95,656","199,080"
"Plum borough, Pennsylvania","","",""
"    Estimate","26,898","7,495","19,403"
"Pottstown borough, Pennsylvania","","",""
"    Estimate","25,172","10,339","14,833"
"Reading city, Pennsylvania","","",""
"    Estimate","88,145","49,361","38,784"
"Scranton city, Pennsylvania","","",""
"    Estimate","74,168","36,311","37,857"
"State College borough, Pennsylvania","","",""
"    Estimate","41,952","5,374","36,578"
"Upper St. Clair CDP, Pennsylvania","","",""
"    Estimate","19,672","4,289","15,383"
"West Chester borough, Pennsylvania","","",""
"    Estimate","22,241","4,412","17,829"
"Wilkes-Barre city, Pennsylvania","","",""
"    Estimate","39,808","20,377","19,431"
"Williamsport city, Pennsylvania","","",""
"    Estimate","27,614","14,826","12,788"
"York city, Pennsylvania","","",""
"    Estimate","43,741","24,290","19,451"
"Central Falls city, Rhode Island","","",""
"    Estimate","22,803","13,422","9,381"
"Cranston city, Rhode Island","","",""
"    Estimate","78,706","28,014","50,692"
"East Providence city, Rhode Island","","",""
"    Estimate","47,084","18,332","28,752"
"Newport city, Rhode Island","","",""
"    Estimate","22,082","8,053","14,029"
"Pawtucket city, Rhode Island","","",""
"    Estimate","71,575","28,962","42,613"
"Providence city, Rhode Island","","",""
"    Estimate","176,581","73,893","102,688"
"Warwick city, Rhode Island","","",""
"    Estimate","80,588","27,319","53,269"
"Woonsocket city, Rhode Island","","",""
"    Estimate","41,327","18,484","22,843"
"Aiken city, South Carolina","","",""
"    Estimate","29,979","14,373","15,606"
"Anderson city, South Carolina","","",""
"    Estimate","26,985","10,637","16,348"
"Bluffton town, South Carolina","","",""
"    Estimate","25,273","7,087","18,186"
"Charleston city, South Carolina","","",""
"    Estimate","141,023","38,533","102,490"
"Columbia city, South Carolina","","",""
"    Estimate","110,131","33,320","76,811"
"Conway city, South Carolina","","",""
"    Estimate","25,578","9,548","16,030"
"Easley city, South Carolina","","",""
"    Estimate","22,061","7,659","14,402"
"Five Forks CDP, South Carolina","","",""
"    Estimate","21,200","4,267","16,933"
"Florence city, South Carolina","","",""
"    Estimate","37,975","14,722","23,253"
"Fort Mill town, South Carolina","","",""
"    Estimate","21,996","3,594","18,402"
"Goose Creek city, South Carolina","","",""
"    Estimate","40,363","14,417","25,946"
"Greenville city, South Carolina","","",""
"    Estimate","69,062","19,956","49,106"
"Greenwood city, South Carolina","","",""
"    Estimate","24,213","12,539","11,674"
"Greer city, South Carolina","","",""
"    Estimate","35,832","10,545","25,287"
"Hanahan city, South Carolina","","",""
"    Estimate","26,299","6,740","19,559"
"Hilton Head Island town, South Carolina","","",""
"    Estimate","39,680","18,258","21,422"
"Lexington town, South Carolina","","",""
"    Estimate","24,330","7,095","17,235"
"Mauldin city, South Carolina","","",""
"    Estimate","25,334","8,929","16,405"
"Mount Pleasant town, South Carolina","","",""
"    Estimate","91,354","20,268","71,086"
"Myrtle Beach city, South Carolina","","",""
"    Estimate","34,638","14,742","19,896"
"North Augusta city, South Carolina","","",""
"    Estimate","19,763","6,772","12,991"
"North Charleston city, South Carolina","","",""
"    Estimate","115,614","29,831","85,783"
"North Myrtle Beach city, South Carolina","","",""
"    Estimate","24,123","10,760","13,363"
"Rock Hill city, South Carolina","","",""
"    Estimate","74,182","22,586","51,596"
"St. Andrews CDP, South Carolina","","",""
"    Estimate","25,307","10,352","14,955"
"Simpsonville city, South Carolina","","",""
"    Estimate","24,037","6,366","17,671"
"Socastee CDP, South Carolina","","",""
"    Estimate","26,216","12,524","13,692"
"Spartanburg city, South Carolina","","",""
"    Estimate","37,013","17,973","19,040"
"Summerville town, South Carolina","","",""
"    Estimate","56,124","16,100","40,024"
"Sumter city, South Carolina","","",""
"    Estimate","36,968","16,020","20,948"
"Taylors CDP, South Carolina","","",""
"    Estimate","23,583","7,445","16,138"
"Wade Hampton CDP, South Carolina","","",""
"    Estimate","21,056","5,573","15,483"
"Aberdeen city, South Dakota","","",""
"    Estimate","29,825","8,205","21,620"
"Brookings city, South Dakota","","",""
"    Estimate","25,469","4,941","20,528"
"Rapid City city, South Dakota","","",""
"    Estimate","75,357","26,803","48,554"
"Sioux Falls city, South Dakota","","",""
"    Estimate","181,012","46,668","134,344"
"Watertown city, South Dakota","","",""
"    Estimate","22,529","6,194","16,335"
"Bartlett city, Tennessee","","",""
"    Estimate","58,515","14,400","44,115"
"Brentwood city, Tennessee","","",""
"    Estimate","42,700","6,543","36,157"
"Bristol city, Tennessee","","",""
"    Estimate","26,883","13,433","13,450"
"Chattanooga city, Tennessee","","",""
"    Estimate","179,540","63,939","115,601"
"Clarksville city, Tennessee","","",""
"    Estimate","145,555","51,688","93,867"
"Cleveland city, Tennessee","","",""
"    Estimate","44,507","16,222","28,285"
"Collierville town, Tennessee","","",""
"    Estimate","50,930","9,120","41,810"
"Columbia city, Tennessee","","",""
"    Estimate","39,430","13,406","26,024"
"Cookeville city, Tennessee","","",""
"    Estimate","34,191","10,891","23,300"
"East Ridge city, Tennessee","","",""
"    Estimate","22,090","8,770","13,320"
"Farragut town, Tennessee","","",""
"    Estimate","21,082","4,764","16,318"
"Franklin city, Tennessee","","",""
"    Estimate","82,761","14,590","68,171"
"Gallatin city, Tennessee","","",""
"    Estimate","41,695","14,233","27,462"
"Germantown city, Tennessee","","",""
"    Estimate","39,074","7,374","31,700"
"Hendersonville city, Tennessee","","",""
"    Estimate","57,889","15,304","42,585"
"Jackson city, Tennessee","","",""
"    Estimate","65,906","29,499","36,407"
"Johnson City city, Tennessee","","",""
"    Estimate","66,888","22,259","44,629"
"Kingsport city, Tennessee","","",""
"    Estimate","52,981","23,209","29,772"
"Knoxville city, Tennessee","","",""
"    Estimate","186,061","68,013","118,048"
"La Vergne city, Tennessee","","",""
"    Estimate","35,703","9,351","26,352"
"Lebanon city, Tennessee","","",""
"    Estimate","35,489","13,521","21,968"
"Maryville city, Tennessee","","",""
"    Estimate","28,655","8,916","19,739"
"Memphis city, Tennessee","","",""
"    Estimate","641,553","261,344","380,209"
"Morristown city, Tennessee","","",""
"    Estimate","29,333","15,168","14,165"
"Mount Juliet city, Tennessee","","",""
"    Estimate","36,912","10,037","26,875"
"Murfreesboro city, Tennessee","","",""
"    Estimate","145,443","32,315","113,128"
"Nashville-Davidson metropolitan government (balance), Tennessee","","",""
"    Estimate","661,803","188,495","473,308"
"Oak Ridge city, Tennessee","","",""
"    Estimate","28,671","10,860","17,811"
"Sevierville city, Tennessee","","",""
"    Estimate","19,275","7,887","11,388"
"Shelbyville city, Tennessee","","",""
"    Estimate","25,846","11,557","14,289"
"Smyrna town, Tennessee","","",""
"    Estimate","50,950","16,078","34,872"
"Spring Hill city, Tennessee","","",""
"    Estimate","42,169","7,911","34,258"
"Abilene city, Texas","","",""
"    Estimate","110,398","36,454","73,944"
"Alice city, Texas","","",""
"    Estimate","19,193","6,245","12,948"
"Allen city, Texas","","",""
"    Estimate","105,425","13,510","91,915"
"Alvin city, Texas","","",""
"    Estimate","26,681","6,570","20,111"
"Amarillo city, Texas","","",""
"    Estimate","195,401","55,953","139,448"
"Anna city, Texas","","",""
"    Estimate","20,410","1,480","18,930"
"Arlington city, Texas","","",""
"    Estimate","397,531","111,265","286,266"
"Atascocita CDP, Texas","","",""
"    Estimate","80,691","13,185","67,506"
"Austin city, Texas","","",""
"    Estimate","973,687","202,302","771,385"
"Balch Springs city, Texas","","",""
"    Estimate","25,011","7,820","17,191"
"Baytown city, Texas","","",""
"    Estimate","76,397","22,283","54,114"
"Beaumont city, Texas","","",""
"    Estimate","115,260","39,564","75,696"
"Bedford city, Texas","","",""
"    Estimate","48,692","13,612","35,080"
"Belton city, Texas","","",""
"    Estimate","22,133","6,638","15,495"
"Benbrook city, Texas","","",""
"    Estimate","26,638","8,443","18,195"
"Big Spring city, Texas","","",""
"    Estimate","25,315","7,676","17,639"
"Brownsville city, Texas","","",""
"    Estimate","181,816","65,795","116,021"
"Bryan city, Texas","","",""
"    Estimate","82,536","25,585","56,951"
"Burleson city, Texas","","",""
"    Estimate","48,233","12,346","35,887"
"Canyon Lake CDP, Texas","","",""
"    Estimate","26,800","10,496","16,304"
"Carrollton city, Texas","","",""
"    Estimate","138,525","24,915","113,610"
"Cedar Hill city, Texas","","",""
"    Estimate","48,053","12,676","35,377"
"Cedar Park city, Texas","","",""
"    Estimate","77,175","14,627","62,548"
"Channelview CDP, Texas","","",""
"    Estimate","53,049","11,120","41,929"
"Cibolo city, Texas","","",""
"    Estimate","30,142","7,913","22,229"
"Cleburne city, Texas","","",""
"    Estimate","30,472","12,159","18,313"
"Cloverleaf CDP, Texas","","",""
"    Estimate","29,051","10,607","18,444"
"College Station city, Texas","","",""
"    Estimate","116,797","18,307","98,490"
"Colleyville city, Texas","","",""
"    Estimate","27,098","6,190","20,908"
"Conroe city, Texas","","",""
"    Estimate","89,765","26,569","63,196"
"Converse city, Texas","","",""
"    Estimate","27,229","9,667","17,562"
"Coppell city, Texas","","",""
"    Estimate","41,558","4,805","36,753"
"Copperas Cove city, Texas","","",""
"    Estimate","30,795","9,663","21,132"
"Corinth city, Texas","","",""
"    Estimate","22,578","2,700","19,878"
"Corpus Christi city, Texas","","",""
"    Estimate","321,073","105,375","215,698"
"Corsicana city, Texas","","",""
"    Estimate","23,517","8,219","15,298"
"Dallas city, Texas","","",""
"    Estimate","1,334,467","378,216","956,251"
"Deer Park city, Texas","","",""
"    Estimate","33,377","8,061","25,316"
"Del Rio city, Texas","","",""
"    Estimate","34,764","14,980","19,784"
"Denison city, Texas","","",""
"    Estimate","25,166","11,022","14,144"
"Denton city, Texas","","",""
"    Estimate","139,603","27,558","112,045"
"DeSoto city, Texas","","",""
"    Estimate","52,390","18,705","33,685"
"Duncanville city, Texas","","",""
"    Estimate","38,576","10,409","28,167"
"Eagle Pass city, Texas","","",""
"    Estimate","29,419","10,671","18,748"
"Edinburg city, Texas","","",""
"    Estimate","97,279","22,464","74,815"
"El Paso city, Texas","","",""
"    Estimate","665,149","229,668","435,481"
"Ennis city, Texas","","",""
"    Estimate","20,201","5,458","14,743"
"Euless city, Texas","","",""
"    Estimate","57,083","14,687","42,396"
"Farmers Branch city, Texas","","",""
"    Estimate","48,159","11,037","37,122"
"Flower Mound town, Texas","","",""
"    Estimate","83,043","13,247","69,796"
"Forney city, Texas","","",""
"    Estimate","27,242","6,030","21,212"
"Fort Hood CDP, Texas","","",""
"    Estimate","6,172","531","5,641"
"Fort Worth city, Texas","","",""
"    Estimate","901,919","237,799","664,120"
"Fresno CDP, Texas","","",""
"    Estimate","25,295","4,450","20,845"
"Friendswood city, Texas","","",""
"    Estimate","41,706","8,443","33,263"
"Frisco city, Texas","","",""
"    Estimate","200,103","23,782","176,321"
"Galveston city, Texas","","",""
"    Estimate","47,945","16,190","31,755"
"Garland city, Texas","","",""
"    Estimate","238,855","68,900","169,955"
"Georgetown city, Texas","","",""
"    Estimate","78,818","32,759","46,059"
"Grand Prairie city, Texas","","",""
"    Estimate","194,226","52,184","142,042"
"Grapevine city, Texas","","",""
"    Estimate","55,070","8,630","46,440"
"Greenville city, Texas","","",""
"    Estimate","28,062","10,944","17,118"
"Haltom City city, Texas","","",""
"    Estimate","43,757","14,319","29,438"
"Harker Heights city, Texas","","",""
"    Estimate","30,772","11,190","19,582"
"Harlingen city, Texas","","",""
"    Estimate","64,498","27,329","37,169"
"Horizon City city, Texas","","",""
"    Estimate","22,069","5,327","16,742"
"Houston city, Texas","","",""
"    Estimate","2,300,232","690,603","1,609,629"
"Huntsville city, Texas","","",""
"    Estimate","34,705","7,663","27,042"
"Hurst city, Texas","","",""
"    Estimate","38,390","11,779","26,611"
"Hutto city, Texas","","",""
"    Estimate","27,945","5,382","22,563"
"Irving city, Texas","","",""
"    Estimate","239,058","54,283","184,775"
"Keller city, Texas","","",""
"    Estimate","46,829","7,028","39,801"
"Kerrville city, Texas","","",""
"    Estimate","23,159","9,018","14,141"
"Killeen city, Texas","","",""
"    Estimate","141,338","52,386","88,952"
"Kingsville city, Texas","","",""
"    Estimate","25,560","7,853","17,707"
"Kyle city, Texas","","",""
"    Estimate","47,890","12,384","35,506"
"Lake Jackson city, Texas","","",""
"    Estimate","27,146","7,787","19,359"
"La Marque city, Texas","","",""
"    Estimate","21,416","7,106","14,310"
"Lancaster city, Texas","","",""
"    Estimate","38,743","12,667","26,076"
"La Porte city, Texas","","",""
"    Estimate","34,978","8,311","26,667"
"Laredo city, Texas","","",""
"    Estimate","261,830","78,625","183,205"
"League City city, Texas","","",""
"    Estimate","106,314","15,702","90,612"
"Leander city, Texas","","",""
"    Estimate","68,527","10,508","58,019"
"Lewisville city, Texas","","",""
"    Estimate","107,990","25,150","82,840"
"Little Elm city, Texas","","",""
"    Estimate","53,124","10,180","42,944"
"Longview city, Texas","","",""
"    Estimate","80,250","25,054","55,196"
"Lubbock city, Texas","","",""
"    Estimate","255,197","73,890","181,307"
"Lufkin city, Texas","","",""
"    Estimate","34,383","12,013","22,370"
"McAllen city, Texas","","",""
"    Estimate","142,224","49,909","92,315"
"McKinney city, Texas","","",""
"    Estimate","197,310","36,641","160,669"
"Mansfield city, Texas","","",""
"    Estimate","74,124","12,437","61,687"
"Marshall city, Texas","","",""
"    Estimate","20,131","8,502","11,629"
"Mesquite city, Texas","","",""
"    Estimate","140,205","46,559","93,646"
"Midland city, Texas","","",""
"    Estimate","145,021","30,942","114,079"
"Midlothian city, Texas","","",""
"    Estimate","33,534","8,316","25,218"
"Mission city, Texas","","",""
"    Estimate","83,897","25,767","58,130"
"Mission Bend CDP, Texas","","",""
"    Estimate","35,041","10,609","24,432"
"Missouri City city, Texas","","",""
"    Estimate","75,286","22,085","53,201"
"Murphy city, Texas","","",""
"    Estimate","24,291","4,369","19,922"
"Nacogdoches city, Texas","","",""
"    Estimate","32,203","7,606","24,597"
"New Braunfels city, Texas","","",""
"    Estimate","89,889","22,958","66,931"
"North Richland Hills city, Texas","","",""
"    Estimate","70,299","19,610","50,689"
"Odessa city, Texas","","",""
"    Estimate","122,026","26,118","95,908"
"Palestine city, Texas","","",""
"    Estimate","21,333","7,809","13,524"
"Paris city, Texas","","",""
"    Estimate","24,334","10,528","13,806"
"Pasadena city, Texas","","",""
"    Estimate","150,299","48,485","101,814"
"Pearland city, Texas","","",""
"    Estimate","130,546","18,676","111,870"
"Pecan Grove CDP, Texas","","",""
"    Estimate","21,296","3,264","18,032"
"Pflugerville city, Texas","","",""
"    Estimate","64,879","11,923","52,956"
"Pharr city, Texas","","",""
"    Estimate","79,115","31,912","47,203"
"Plainview city, Texas","","",""
"    Estimate","21,354","5,957","15,397"
"Plano city, Texas","","",""
"    Estimate","285,152","52,145","233,007"
"Port Arthur city, Texas","","",""
"    Estimate","53,701","20,626","33,075"
"Prosper town, Texas","","",""
"    Estimate","24,563","1,877","22,686"
"Richardson city, Texas","","",""
"    Estimate","120,714","27,575","93,139"
"Rockwall city, Texas","","",""
"    Estimate","45,608","10,280","35,328"
"Rosenberg city, Texas","","",""
"    Estimate","38,161","12,294","25,867"
"Round Rock city, Texas","","",""
"    Estimate","132,864","27,144","105,720"
"Rowlett city, Texas","","",""
"    Estimate","66,470","12,947","53,523"
"Sachse city, Texas","","",""
"    Estimate","22,770","3,508","19,262"
"Saginaw city, Texas","","",""
"    Estimate","24,031","5,240","18,791"
"San Angelo city, Texas","","",""
"    Estimate","93,062","29,044","64,018"
"San Antonio city, Texas","","",""
"    Estimate","1,528,917","497,256","1,031,661"
"San Benito city, Texas","","",""
"    Estimate","24,188","11,623","12,565"
"San Juan city, Texas","","",""
"    Estimate","36,690","14,192","22,498"
"San Marcos city, Texas","","",""
"    Estimate","63,967","11,087","52,880"
"Schertz city, Texas","","",""
"    Estimate","44,740","11,478","33,262"
"Seguin city, Texas","","",""
"    Estimate","29,289","11,384","17,905"
"Sherman city, Texas","","",""
"    Estimate","43,417","14,327","29,090"
"Sienna Plantation CDP, Texas","","",""
"    Estimate","26,938","3,073","23,865"
"Socorro city, Texas","","",""
"    Estimate","34,366","12,655","21,711"
"South Houston city, Texas","","",""
"    Estimate","20,876","7,377","13,499"
"Southlake city, Texas","","",""
"    Estimate","32,555","6,221","26,334"
"Spring CDP, Texas","","",""
"    Estimate","61,704","17,424","44,280"
"Stephenville city, Texas","","",""
"    Estimate","18,899","4,016","14,883"
"Sugar Land city, Texas","","",""
"    Estimate","118,329","21,461","96,868"
"Temple city, Texas","","",""
"    Estimate","76,200","29,416","46,784"
"Texarkana city, Texas","","",""
"    Estimate","34,507","13,188","21,319"
"Texas City city, Texas","","",""
"    Estimate","49,134","18,579","30,555"
"The Colony city, Texas","","",""
"    Estimate","44,433","7,462","36,971"
"The Woodlands CDP, Texas","","",""
"    Estimate","116,833","20,289","96,544"
"Timberwood Park CDP, Texas","","",""
"    Estimate","24,002","4,166","19,836"
"Tyler city, Texas","","",""
"    Estimate","104,815","30,318","74,497"
"Universal City city, Texas","","",""
"    Estimate","22,705","6,077","16,628"
"University Park city, Texas","","",""
"    Estimate","24,981","4,073","20,908"
"Uvalde city, Texas","","",""
"    Estimate","20,003","9,293","10,710"
"Victoria city, Texas","","",""
"    Estimate","66,038","19,530","46,508"
"Waco city, Texas","","",""
"    Estimate","135,966","42,601","93,365"
"Watauga city, Texas","","",""
"    Estimate","24,380","5,568","18,812"
"Waxahachie city, Texas","","",""
"    Estimate","37,235","9,386","27,849"
"Weatherford city, Texas","","",""
"    Estimate","32,492","8,816","23,676"
"Weslaco city, Texas","","",""
"    Estimate","40,973","14,571","26,402"
"West Odessa CDP, Texas","","",""
"    Estimate","26,659","2,753","23,906"
"West University Place city, Texas","","",""
"    Estimate","20,028","2,161","17,867"
"Wichita Falls city, Texas","","",""
"    Estimate","91,741","31,853","59,888"
"Wylie city, Texas","","",""
"    Estimate","52,503","8,585","43,918"
"American Fork city, Utah","","",""
"    Estimate","32,560","5,367","27,193"
"Bountiful city, Utah","","",""
"    Estimate","43,438","8,442","34,996"
"Brigham City city, Utah","","",""
"    Estimate","19,671","6,259","13,412"
"Cedar City city, Utah","","",""
"    Estimate","31,896","7,376","24,520"
"Clearfield city, Utah","","",""
"    Estimate","31,096","5,984","25,112"
"Clinton city, Utah","","",""
"    Estimate","27,621","3,718","23,903"
"Cottonwood Heights city, Utah","","",""
"    Estimate","33,794","9,136","24,658"
"Draper city, Utah","","",""
"    Estimate","46,394","3,911","42,483"
"Eagle Mountain city, Utah","","",""
"    Estimate","38,228","7,269","30,959"
"Farmington city, Utah","","",""
"    Estimate","24,353","4,131","20,222"
"Herriman city, Utah","","",""
"    Estimate","51,344","3,147","48,197"
"Holladay city, Utah","","",""
"    Estimate","30,086","7,216","22,870"
"Hurricane city, Utah","","",""
"    Estimate","23,623","7,294","16,329"
"Kaysville city, Utah","","",""
"    Estimate","32,402","3,326","29,076"
"Kearns, Utah","","",""
"    Estimate","36,326","6,624","29,702"
"Layton city, Utah","","",""
"    Estimate","77,008","13,531","63,477"
"Lehi city, Utah","","",""
"    Estimate","69,678","10,941","58,737"
"Logan city, Utah","","",""
"    Estimate","50,874","11,687","39,187"
"Magna, Utah","","",""
"    Estimate","26,845","6,748","20,097"
"Midvale city, Utah","","",""
"    Estimate","34,109","5,386","28,723"
"Millcreek city, Utah","","",""
"    Estimate","60,609","12,941","47,668"
"Murray city, Utah","","",""
"    Estimate","48,799","11,481","37,318"
"North Salt Lake city, Utah","","",""
"    Estimate","20,195","2,466","17,729"
"Ogden city, Utah","","",""
"    Estimate","85,947","21,317","64,630"
"Orem city, Utah","","",""
"    Estimate","97,426","17,760","79,666"
"Payson city, Utah","","",""
"    Estimate","21,853","5,575","16,278"
"Pleasant Grove city, Utah","","",""
"    Estimate","38,203","7,219","30,984"
"Provo city, Utah","","",""
"    Estimate","115,545","18,862","96,683"
"Riverton city, Utah","","",""
"    Estimate","44,337","6,918","37,419"
"Roy city, Utah","","",""
"    Estimate","39,486","8,076","31,410"
"St. George city, Utah","","",""
"    Estimate","89,018","28,867","60,151"
"Salt Lake City city, Utah","","",""
"    Estimate","199,601","37,003","162,598"
"Sandy city, Utah","","",""
"    Estimate","96,164","19,091","77,073"
"Saratoga Springs city, Utah","","",""
"    Estimate","33,288","4,743","28,545"
"South Jordan city, Utah","","",""
"    Estimate","76,585","12,899","63,686"
"South Ogden city, Utah","","",""
"    Estimate","21,402","5,032","16,370"
"South Salt Lake city, Utah","","",""
"    Estimate","24,372","4,638","19,734"
"Spanish Fork city, Utah","","",""
"    Estimate","40,092","8,499","31,593"
"Springville city, Utah","","",""
"    Estimate","33,122","8,036","25,086"
"Syracuse city, Utah","","",""
